WL(nm)	PL	PE(mW/nm)
380	0.0030	1.5630
381	0.0027	1.4341
382	0.0023	1.2290
383	0.0023	1.2025
384	0.0021	1.0990
385	0.0020	1.0396
386	0.0018	0.9444
387	0.0017	0.8831
388	0.0016	0.8398
389	0.0015	0.7872
390	0.0015	0.7700
391	0.0014	0.7137
392	0.0013	0.6963
393	0.0012	0.6459
394	0.0012	0.6295
395	0.0012	0.6413
396	0.0012	0.6047
397	0.0011	0.5873
398	0.0011	0.6008
399	0.0012	0.6059
400	0.0012	0.6135
401	0.0012	0.6343
402	0.0012	0.6424
403	0.0013	0.6959
404	0.0014	0.7476
405	0.0016	0.8200
406	0.0017	0.9021
407	0.0019	1.0059
408	0.0022	1.1539
409	0.0025	1.3077
410	0.0029	1.5470
411	0.0035	1.8337
412	0.0042	2.1915
413	0.0050	2.6147
414	0.0058	3.0677
415	0.0070	3.6851
416	0.0084	4.3822
417	0.0102	5.3738
418	0.0121	6.3611
419	0.0146	7.6371
420	0.0175	9.1973
421	0.0212	11.0965
422	0.0251	13.1851
423	0.0299	15.6945
424	0.0363	19.0186
425	0.0428	22.4375
426	0.0506	26.5646
427	0.0598	31.3843
428	0.0704	36.9196
429	0.0832	43.6666
430	0.0982	51.5075
431	0.1150	60.3104
432	0.1326	69.5445
433	0.1529	80.2331
434	0.1780	93.3508
435	0.2043	107.1569
436	0.2329	122.1808
437	0.2662	139.6323
438	0.3073	161.1994
439	0.3485	182.8127
440	0.4000	209.8471
441	0.4586	240.5966
442	0.5200	272.7795
443	0.5890	308.9658
444	0.6678	350.3352
445	0.7417	389.0682
446	0.8132	426.5998
447	0.8893	466.5291
448	0.9411	493.7065
449	0.9769	512.4843
450	1.0000	524.5883
451	0.9963	522.6617
452	0.9595	503.3300
453	0.9145	479.7538
454	0.8543	448.1326
455	0.7899	414.3495
456	0.7194	377.3807
457	0.6442	337.9194
458	0.5845	306.6369
459	0.5260	275.9170
460	0.4732	248.2224
461	0.4324	226.8494
462	0.3965	207.9983
463	0.3673	192.6786
464	0.3352	175.8398
465	0.3113	163.2933
466	0.2856	149.8462
467	0.2584	135.5627
468	0.2361	123.8303
469	0.2139	112.2311
470	0.1880	98.6417
471	0.1669	87.5772
