WL(nm)	PL	PE(mW/nm)
380	0.0001	0.0268
381	0.0000	0.0047
382	0.0000	0.0129
383	0.0000	0.0026
384	0.0000	0.0057
385	0.0000	0.0147
386	0.0000	0.0074
387	0.0000	0.0034
388	0.0000	0.0045
389	0.0000	0.0075
390	0.0000	0.0026
391	0.0000	0.0035
392	0.0000	0.0065
393	0.0000	0.0020
394	0.0000	0.0036
395	0.0000	0.0091
396	0.0000	0.0000
397	0.0000	0.0016
398	0.0000	0.0033
399	0.0000	0.0035
400	0.0000	0.0040
401	0.0000	0.0060
402	0.0000	0.0024
403	0.0000	0.0027
404	0.0000	0.0039
405	0.0000	0.0011
406	0.0000	0.0037
407	0.0000	0.0018
408	0.0000	0.0015
409	0.0000	0.0034
410	0.0000	0.0009
411	0.0000	0.0046
412	0.0000	0.0018
413	0.0000	0.0020
414	0.0000	0.0017
415	0.0000	0.0010
416	0.0000	0.0002
417	0.0000	0.0016
418	0.0000	0.0023
419	0.0000	0.0013
420	0.0000	0.0021
421	0.0000	0.0027
422	0.0000	0.0025
423	0.0000	0.0007
424	0.0000	0.0016
425	0.0000	0.0021
426	0.0000	0.0026
427	0.0000	0.0019
428	0.0000	0.0023
429	0.0000	0.0010
430	0.0000	0.0032
431	0.0000	0.0011
432	0.0000	0.0019
433	0.0000	0.0030
434	0.0000	0.0020
435	0.0000	0.0015
436	0.0000	0.0014
437	0.0000	0.0014
438	0.0000	0.0008
439	0.0000	0.0015
440	0.0000	0.0009
441	0.0000	0.0012
442	0.0000	0.0011
443	0.0000	0.0014
444	0.0000	0.0006
445	0.0000	0.0011
446	0.0000	0.0028
447	0.0000	0.0022
448	0.0000	0.0010
449	0.0000	0.0009
450	0.0000	0.0016
451	0.0000	0.0015
452	0.0000	0.0018
453	0.0000	0.0010
454	0.0000	0.0019
455	0.0000	0.0020
456	0.0000	0.0020
457	0.0000	0.0014
458	0.0000	0.0020
459	0.0000	0.0009
460	0.0000	0.0037
461	0.0000	0.0009
462	0.0000	0.0012
463	0.0000	0.0024
464	0.0000	0.0010
465	0.0000	0.0017
466	0.0000	0.0026
467	0.0000	0.0017
468	0.0000	0.0012
469	0.0000	0.0013
470	0.0000	0.0000
471	0.0000	0.0001
472	0.0000	0.0000
473	0.0000	0.0000
474	0.0000	0.0000
475	0.0000	0.0000
476	0.0000	0.0000
477	0.0000	0.0000
478	0.0000	0.0000
479	0.0000	0.0000
480	0.0000	0.0000
481	0.0000	0.0000
482	0.0000	0.0000
483	0.0000	0.0000
484	0.0000	0.0001
485	0.0000	0.0000
486	0.0000	0.0001
487	0.0000	0.0000
488	0.0000	0.0000
489	0.0000	0.0000
490	0.0000	0.0000
491	0.0000	0.0000
492	0.0000	0.0000
493	0.0000	0.0000
494	0.0000	0.0000
495	0.0000	0.0000
496	0.0000	0.0000
497	0.0000	0.0000
498	0.0000	0.0000
499	0.0000	0.0003
500	0.0000	0.0000
501	0.0000	0.0000
502	0.0000	0.0000
503	0.0000	0.0000
504	0.0000	0.0000
505	0.0000	0.0000
506	0.0000	0.0000
