WL(nm)	PL	PE(mW/nm)
380	0.0052	0.9012
381	0.0045	0.7749
382	0.0042	0.7283
383	0.0038	0.6571
384	0.0033	0.5684
385	0.0029	0.5002
386	0.0027	0.4633
387	0.0023	0.3989
388	0.0022	0.3787
389	0.0019	0.3294
390	0.0018	0.3087
391	0.0018	0.3087
392	0.0015	0.2570
393	0.0015	0.2564
394	0.0013	0.2295
395	0.0013	0.2206
396	0.0012	0.2140
397	0.0012	0.2088
398	0.0010	0.1821
399	0.0011	0.1894
400	0.0011	0.1838
401	0.0010	0.1665
402	0.0010	0.1740
403	0.0010	0.1725
404	0.0009	0.1554
405	0.0008	0.1443
406	0.0008	0.1460
407	0.0008	0.1473
408	0.0008	0.1435
409	0.0008	0.1429
410	0.0009	0.1493
411	0.0009	0.1600
412	0.0009	0.1552
413	0.0009	0.1629
414	0.0009	0.1606
415	0.0011	0.1934
416	0.0011	0.1975
417	0.0012	0.2046
418	0.0012	0.2081
419	0.0014	0.2420
420	0.0016	0.2762
421	0.0019	0.3223
422	0.0023	0.3925
423	0.0025	0.4316
424	0.0029	0.5047
425	0.0035	0.6039
426	0.0042	0.7310
427	0.0049	0.8492
428	0.0058	1.0031
429	0.0069	1.2008
430	0.0085	1.4817
431	0.0100	1.7415
432	0.0121	2.1030
433	0.0144	2.4975
434	0.0174	3.0195
435	0.0209	3.6312
436	0.0250	4.3477
437	0.0299	5.1990
438	0.0350	6.0780
439	0.0421	7.3045
440	0.0508	8.8202
441	0.0598	10.3952
442	0.0707	12.2777
443	0.0831	14.4315
444	0.0970	16.8562
445	0.1123	19.5055
446	0.1290	22.4010
447	0.1505	26.1447
448	0.1729	30.0284
449	0.1960	34.0447
450	0.2248	39.0476
451	0.2585	44.8949
452	0.2906	50.4720
453	0.3272	56.8396
454	0.3685	64.0108
455	0.4141	71.9371
456	0.4600	79.9062
457	0.5204	90.4019
458	0.5764	100.1198
459	0.6369	110.6345
460	0.6974	121.1345
461	0.7659	133.0367
462	0.8212	142.6490
463	0.8688	150.9169
464	0.9155	159.0200
465	0.9563	166.1211
466	0.9784	169.9520
467	1.0000	173.7052
468	0.9921	172.3284
469	0.9707	168.6101
470	0.9244	160.5711
471	0.8865	153.9895
472	0.8325	144.6096
473	0.7804	135.5524
474	0.7143	124.0740
475	0.6562	113.9841
476	0.5923	102.8867
477	0.5392	93.6649
478	0.4840	84.0812
479	0.4463	77.5217
480	0.4003	69.5409
481	0.3692	64.1247
482	0.3315	57.5913
483	0.3057	53.1030
484	0.2797	48.5893
485	0.2554	44.3663
486	0.2331	40.4887
487	0.2137	37.1275
488	0.1957	34.0014
489	0.1747	30.3517
490	0.1559	27.0751
491	0.1410	24.4856
492	0.1275	22.1488
493	0.1125	19.5430
494	0.1004	17.4479
495	0.0897	15.5836
496	0.0815	14.1558
497	0.0724	12.5774
498	0.0657	11.4173
499	0.0587	10.1941
500	0.0536	9.3124
501	0.0488	8.4688
502	0.0442	7.6765
503	0.0403	7.0012
504	0.0363	6.3093
505	0.0333	5.7811
506	0.0302	5.2402
507	0.0274	4.7626
508	0.0246	4.2779
509	0.0224	3.8845
510	0.0198	3.4461
511	0.0180	3.1203
512	0.0160	2.7866
513	0.0147	2.5495
514	0.0131	2.2796
515	0.0118	2.0416
516	0.0109	1.8892
517	0.0099	1.7205
518	0.0090	1.5682
519	0.0083	1.4381
520	0.0075	1.3060
521	0.0068	1.1896
522	0.0064	1.1095
523	0.0060	1.0377
524	0.0054	0.9451
525	0.0051	0.8870
526	0.0047	0.8192
527	0.0043	0.7548
528	0.0040	0.6868
529	0.0036	0.6266
530	0.0033	0.5797
531	0.0032	0.5527
532	0.0030	0.5202
533	0.0028	0.4824
534	0.0027	0.4657
535	0.0024	0.4235
536	0.0022	0.3871
537	0.0021	0.3676
538	0.0021	0.3583
539	0.0019	0.3384
540	0.0018	0.3175
541	0.0019	0.3229
542	0.0017	0.2914
543	0.0017	0.2876
544	0.0015	0.2684
545	0.0016	0.2720
546	0.0015	0.2608
547	0.0015	0.2525
548	0.0014	0.2372
549	0.0014	0.2381
550	0.0014	0.2396
551	0.0013	0.2195
552	0.0013	0.2205
553	0.0013	0.2203
554	0.0013	0.2204
555	0.0013	0.2317
556	0.0012	0.2126
557	0.0013	0.2208
558	0.0012	0.2152
559	0.0013	0.2237
560	0.0007	0.1134
561	0.0007	0.1243
562	0.0007	0.1161
563	0.0007	0.1219
564	0.0007	0.1278
565	0.0008	0.1342
566	0.0008	0.1391
567	0.0009	0.1525
568	0.0009	0.1593
569	0.0010	0.1658
570	0.0011	0.1889
571	0.0012	0.2010
572	0.0012	0.2133
573	0.0013	0.2333
574	0.0015	0.2590
575	0.0016	0.2746
576	0.0018	0.3094
577	0.0020	0.3430
578	0.0022	0.3774
579	0.0024	0.4252
580	0.0027	0.4655
581	0.0029	0.5009
582	0.0033	0.5750
583	0.0038	0.6572
584	0.0041	0.7082
585	0.0046	0.7966
586	0.0053	0.9129
587	0.0058	1.0005
588	0.0065	1.1309
589	0.0073	1.2755
590	0.0084	1.4627
591	0.0095	1.6530
592	0.0105	1.8295
593	0.0118	2.0548
594	0.0131	2.2806
595	0.0148	2.5780
596	0.0164	2.8562
597	0.0183	3.1745
598	0.0205	3.5693
599	0.0230	3.9885
600	0.0260	4.5209
601	0.0289	5.0168
602	0.0317	5.5099
603	0.0358	6.2252
604	0.0396	6.8786
605	0.0436	7.5745
606	0.0493	8.5603
607	0.0543	9.4407
608	0.0601	10.4358
609	0.0676	11.7431
610	0.0744	12.9163
611	0.0832	14.4552
612	0.0922	16.0140
613	0.1044	18.1431
614	0.1157	20.0894
615	0.1291	22.4237
616	0.1439	25.0029
617	0.1621	28.1565
618	0.1796	31.1905
619	0.2027	35.2174
620	0.2277	39.5612
621	0.2537	44.0616
622	0.2846	49.4355
623	0.3214	55.8365
624	0.3562	61.8675
625	0.3996	69.4197
626	0.4438	77.0878
627	0.4957	86.1063
628	0.5487	95.3133
629	0.6053	105.1484
630	0.6635	115.2532
631	0.7141	124.0487
632	0.7586	131.7795
633	0.7897	137.1771
634	0.7993	138.8507
635	0.7937	137.8633
636	0.7508	130.4172
637	0.6942	120.5812
638	0.6234	108.2865
639	0.5458	94.8135
640	0.4649	80.7476
641	0.3886	67.5042
642	0.3234	56.1719
643	0.2659	46.1896
644	0.2189	38.0230
645	0.1788	31.0671
646	0.1488	25.8517
647	0.1221	21.2100
648	0.1027	17.8349
649	0.0847	14.7159
650	0.0688	11.9444
651	0.0566	9.8398
652	0.0476	8.2691
653	0.0390	6.7773
654	0.0327	5.6807
655	0.0274	4.7677
656	0.0225	3.9166
657	0.0193	3.3592
658	0.0167	2.8931
659	0.0141	2.4443
660	0.0111	1.9365
661	0.0094	1.6357
662	0.0083	1.4395
663	0.0072	1.2453
664	0.0060	1.0498
665	0.0053	0.9222
666	0.0046	0.8057
667	0.0040	0.6975
668	0.0035	0.5994
669	0.0030	0.5283
670	0.0026	0.4490
671	0.0022	0.3798
672	0.0020	0.3462
673	0.0018	0.3127
674	0.0016	0.2774
675	0.0015	0.2613
676	0.0013	0.2293
677	0.0012	0.2120
678	0.0010	0.1762
679	0.0010	0.1757
680	0.0009	0.1590
681	0.0008	0.1395
682	0.0009	0.1573
683	0.0008	0.1339
684	0.0008	0.1342
685	0.0008	0.1398
686	0.0006	0.1115
687	0.0006	0.1098
688	0.0007	0.1154
689	0.0006	0.1095
690	0.0007	0.1181
691	0.0006	0.1012
692	0.0006	0.0990
693	0.0006	0.1014
694	0.0006	0.1033
695	0.0006	0.0995
696	0.0005	0.0849
697	0.0006	0.1003
698	0.0005	0.0818
699	0.0005	0.0856
700	0.0005	0.0926
701	0.0005	0.0906
702	0.0005	0.0890
703	0.0005	0.0816
704	0.0004	0.0778
705	0.0004	0.0747
706	0.0005	0.0795
707	0.0005	0.0782
708	0.0005	0.0796
709	0.0004	0.0644
710	0.0005	0.0810
711	0.0004	0.0675
712	0.0004	0.0709
713	0.0004	0.0683
714	0.0004	0.0746
715	0.0004	0.0692
716	0.0004	0.0713
717	0.0004	0.0668
718	0.0004	0.0647
719	0.0004	0.0647
720	0.0004	0.0627
721	0.0004	0.0656
722	0.0003	0.0502
723	0.0002	0.0409
724	0.0003	0.0606
725	0.0003	0.0559
726	0.0003	0.0574
727	0.0003	0.0539
728	0.0002	0.0424
729	0.0003	0.0515
730	0.0003	0.0525
731	0.0003	0.0522
732	0.0002	0.0363
733	0.0004	0.0669
734	0.0004	0.0624
735	0.0002	0.0408
736	0.0003	0.0491
737	0.0003	0.0485
738	0.0003	0.0553
739	0.0002	0.0387
740	0.0003	0.0563
741	0.0003	0.0486
742	0.0003	0.0529
743	0.0003	0.0456
744	0.0002	0.0374
745	0.0002	0.0339
746	0.0002	0.0404
747	0.0003	0.0465
748	0.0002	0.0423
749	0.0003	0.0492
750	0.0002	0.0345
751	0.0002	0.0266
752	0.0002	0.0352
753	0.0003	0.0522
754	0.0002	0.0397
755	0.0002	0.0355
756	0.0003	0.0558
757	0.0002	0.0415
758	0.0001	0.0237
759	0.0002	0.0381
760	0.0003	0.0441
761	0.0002	0.0342
762	0.0002	0.0296
763	0.0002	0.0425
764	0.0003	0.0469
765	0.0002	0.0306
766	0.0002	0.0410
767	0.0002	0.0394
768	0.0003	0.0530
769	0.0002	0.0433
770	0.0001	0.0240
771	0.0002	0.0352
772	0.0003	0.0528
773	0.0002	0.0390
774	0.0001	0.0227
775	0.0003	0.0584
776	0.0003	0.0543
777	0.0003	0.0435
778	0.0002	0.0274
779	0.0002	0.0279
780	0.0002	0.0372
781	0.0002	0.0433
782	0.0001	0.0253
783	0.0002	0.0390
784	0.0003	0.0464
785	0.0001	0.0210
786	0.0002	0.0267
787	0.0002	0.0294
788	0.0002	0.0417
789	0.0003	0.0599
790	0.0002	0.0300
791	0.0002	0.0333
792	0.0002	0.0294
793	0.0001	0.0126
794	0.0002	0.0317
795	0.0001	0.0108
796	0.0002	0.0399
797	0.0002	0.0288
798	0.0003	0.0475
799	0.0002	0.0274
800	0.0003	0.0444
