WL(nm)	PL	PE(mW/nm)
380	0.0012	0.2297
381	0.0011	0.2081
382	0.0009	0.1867
383	0.0009	0.1803
384	0.0008	0.1503
385	0.0008	0.1562
386	0.0008	0.1550
387	0.0007	0.1316
388	0.0006	0.1230
389	0.0006	0.1106
390	0.0006	0.1089
391	0.0005	0.0954
392	0.0005	0.0972
393	0.0004	0.0858
394	0.0005	0.0902
395	0.0005	0.0943
396	0.0004	0.0844
397	0.0004	0.0864
398	0.0004	0.0730
399	0.0004	0.0757
400	0.0004	0.0789
401	0.0004	0.0734
402	0.0003	0.0665
403	0.0003	0.0651
404	0.0003	0.0674
405	0.0003	0.0607
406	0.0003	0.0655
407	0.0003	0.0647
408	0.0003	0.0598
409	0.0003	0.0501
410	0.0003	0.0530
411	0.0003	0.0554
412	0.0003	0.0529
413	0.0002	0.0491
414	0.0003	0.0538
415	0.0003	0.0516
416	0.0003	0.0518
417	0.0003	0.0542
418	0.0002	0.0488
419	0.0002	0.0452
420	0.0003	0.0500
421	0.0002	0.0441
422	0.0002	0.0420
423	0.0002	0.0418
424	0.0002	0.0461
425	0.0002	0.0380
426	0.0002	0.0448
427	0.0002	0.0458
428	0.0002	0.0423
429	0.0002	0.0468
430	0.0002	0.0447
431	0.0002	0.0469
432	0.0002	0.0477
433	0.0002	0.0475
434	0.0002	0.0449
435	0.0002	0.0479
436	0.0002	0.0463
437	0.0002	0.0465
438	0.0002	0.0450
439	0.0002	0.0472
440	0.0003	0.0517
441	0.0002	0.0480
442	0.0003	0.0524
443	0.0002	0.0492
444	0.0003	0.0554
445	0.0003	0.0665
446	0.0003	0.0619
447	0.0004	0.0708
448	0.0004	0.0779
449	0.0004	0.0798
450	0.0005	0.0891
451	0.0005	0.0979
452	0.0005	0.1004
453	0.0006	0.1133
454	0.0006	0.1245
455	0.0007	0.1353
456	0.0008	0.1536
457	0.0008	0.1662
458	0.0010	0.1923
459	0.0011	0.2085
460	0.0012	0.2451
461	0.0015	0.2912
462	0.0016	0.3156
463	0.0018	0.3559
464	0.0021	0.4092
465	0.0024	0.4731
466	0.0028	0.5483
467	0.0030	0.5972
468	0.0036	0.7125
469	0.0042	0.8252
470	0.0050	0.9845
471	0.0058	1.1352
472	0.0066	1.3000
473	0.0075	1.4797
474	0.0085	1.6809
475	0.0097	1.9039
476	0.0110	2.1743
477	0.0124	2.4513
478	0.0141	2.7865
479	0.0161	3.1762
480	0.0183	3.5987
481	0.0205	4.0484
482	0.0236	4.6588
483	0.0263	5.1872
484	0.0300	5.9015
485	0.0337	6.6485
486	0.0381	7.5028
487	0.0430	8.4681
488	0.0476	9.3788
489	0.0535	10.5364
490	0.0610	12.0240
491	0.0684	13.4807
492	0.0761	14.9931
493	0.0853	16.8084
494	0.0949	18.7040
495	0.1060	20.8758
496	0.1187	23.3915
497	0.1320	26.0145
498	0.1466	28.8930
499	0.1666	32.8166
500	0.1847	36.3871
501	0.2048	40.3501
502	0.2296	45.2356
503	0.2559	50.4167
504	0.2836	55.8836
505	0.3143	61.9256
506	0.3482	68.6096
507	0.3856	75.9641
508	0.4230	83.3466
509	0.4661	91.8347
510	0.5115	100.7708
511	0.5612	110.5708
512	0.6068	119.5438
513	0.6615	130.3224
514	0.7102	139.9343
515	0.7588	149.5065
516	0.8027	158.1538
517	0.8509	167.6531
518	0.8933	175.9941
519	0.9333	183.8890
520	0.9566	188.4747
521	0.9702	191.1464
522	1.0000	197.0221
523	0.9947	195.9848
524	0.9983	196.6857
525	0.9942	195.8883
526	0.9779	192.6608
527	0.9516	187.4819
528	0.9343	184.0701
529	0.8976	176.8378
530	0.8636	170.1461
531	0.8290	163.3316
532	0.7907	155.7762
533	0.7537	148.4988
534	0.7180	141.4580
535	0.6771	133.4069
536	0.6480	127.6763
537	0.6159	121.3485
538	0.5838	115.0198
539	0.5525	108.8528
540	0.5229	103.0209
541	0.4977	98.0666
542	0.4671	92.0367
543	0.4464	87.9559
544	0.4217	83.0853
545	0.3985	78.5121
546	0.3743	73.7368
547	0.3534	69.6249
548	0.3330	65.6124
549	0.3136	61.7859
550	0.2926	57.6392
551	0.2740	53.9792
552	0.2563	50.4961
553	0.2406	47.4106
554	0.2246	44.2431
555	0.2092	41.2132
556	0.1948	38.3859
557	0.1825	35.9469
558	0.1716	33.8168
559	0.1598	31.4915
560	0.1446	28.4961
561	0.1351	26.6229
562	0.1269	25.0015
563	0.1191	23.4687
564	0.1113	21.9308
565	0.1042	20.5258
566	0.0986	19.4292
567	0.0919	18.0988
568	0.0863	17.0007
569	0.0803	15.8165
570	0.0749	14.7522
571	0.0702	13.8303
572	0.0652	12.8378
573	0.0613	12.0849
574	0.0569	11.2074
575	0.0535	10.5315
576	0.0495	9.7522
577	0.0465	9.1639
578	0.0435	8.5684
579	0.0407	8.0146
580	0.0379	7.4655
581	0.0352	6.9377
582	0.0327	6.4487
583	0.0307	6.0553
584	0.0286	5.6339
585	0.0269	5.2987
586	0.0250	4.9328
587	0.0233	4.5947
588	0.0218	4.3000
589	0.0205	4.0472
590	0.0192	3.7741
591	0.0178	3.5037
592	0.0167	3.2896
593	0.0160	3.1430
594	0.0147	2.8959
595	0.0138	2.7189
596	0.0129	2.5477
597	0.0120	2.3696
598	0.0116	2.2836
599	0.0106	2.0925
600	0.0100	1.9800
601	0.0096	1.8822
602	0.0088	1.7284
603	0.0083	1.6393
604	0.0079	1.5475
605	0.0073	1.4287
606	0.0070	1.3768
607	0.0066	1.2959
608	0.0062	1.2136
609	0.0058	1.1338
610	0.0054	1.0628
611	0.0052	1.0220
612	0.0048	0.9472
613	0.0048	0.9484
614	0.0044	0.8707
615	0.0042	0.8354
616	0.0039	0.7704
617	0.0038	0.7394
618	0.0037	0.7349
619	0.0035	0.6821
620	0.0032	0.6262
621	0.0030	0.5999
622	0.0029	0.5701
623	0.0028	0.5589
624	0.0027	0.5390
625	0.0026	0.5090
626	0.0025	0.4927
627	0.0025	0.4839
628	0.0023	0.4446
629	0.0022	0.4400
630	0.0020	0.3875
631	0.0020	0.3986
632	0.0019	0.3696
633	0.0018	0.3544
634	0.0017	0.3414
635	0.0018	0.3507
636	0.0017	0.3346
637	0.0016	0.3234
638	0.0015	0.2919
639	0.0015	0.3042
640	0.0015	0.2886
641	0.0013	0.2625
642	0.0013	0.2552
643	0.0013	0.2636
644	0.0013	0.2508
645	0.0012	0.2379
646	0.0012	0.2363
647	0.0011	0.2222
648	0.0011	0.2166
649	0.0011	0.2176
650	0.0010	0.1883
651	0.0009	0.1839
652	0.0009	0.1816
653	0.0010	0.1926
654	0.0009	0.1713
655	0.0009	0.1689
656	0.0008	0.1665
657	0.0008	0.1587
658	0.0008	0.1612
659	0.0008	0.1615
660	0.0006	0.1213
661	0.0006	0.1150
662	0.0006	0.1110
663	0.0006	0.1139
664	0.0006	0.1154
665	0.0006	0.1195
666	0.0005	0.1058
667	0.0005	0.1036
668	0.0005	0.1057
669	0.0005	0.0950
670	0.0005	0.0931
671	0.0005	0.0985
672	0.0004	0.0883
673	0.0005	0.0917
674	0.0004	0.0855
675	0.0004	0.0729
676	0.0005	0.0917
677	0.0004	0.0780
678	0.0004	0.0814
679	0.0004	0.0870
680	0.0004	0.0781
681	0.0004	0.0709
682	0.0004	0.0852
683	0.0004	0.0824
684	0.0004	0.0707
685	0.0004	0.0763
686	0.0004	0.0782
687	0.0003	0.0666
688	0.0003	0.0685
689	0.0003	0.0637
690	0.0003	0.0648
691	0.0003	0.0572
692	0.0004	0.0763
693	0.0003	0.0677
694	0.0003	0.0593
695	0.0003	0.0611
696	0.0003	0.0546
697	0.0003	0.0517
698	0.0003	0.0571
699	0.0003	0.0514
700	0.0003	0.0527
701	0.0002	0.0484
702	0.0003	0.0517
703	0.0002	0.0481
704	0.0002	0.0458
705	0.0003	0.0531
706	0.0002	0.0429
707	0.0002	0.0418
708	0.0002	0.0462
709	0.0002	0.0477
710	0.0002	0.0443
711	0.0002	0.0410
712	0.0002	0.0326
713	0.0002	0.0312
714	0.0002	0.0305
715	0.0002	0.0335
716	0.0002	0.0431
717	0.0002	0.0330
718	0.0001	0.0282
719	0.0002	0.0360
720	0.0002	0.0375
721	0.0002	0.0361
722	0.0002	0.0331
723	0.0002	0.0313
724	0.0001	0.0293
725	0.0002	0.0335
726	0.0001	0.0289
727	0.0001	0.0241
728	0.0002	0.0307
729	0.0002	0.0305
730	0.0001	0.0190
731	0.0001	0.0153
732	0.0002	0.0314
733	0.0001	0.0244
734	0.0001	0.0231
735	0.0001	0.0284
736	0.0001	0.0193
737	0.0001	0.0169
738	0.0001	0.0240
739	0.0001	0.0222
740	0.0001	0.0255
741	0.0001	0.0231
742	0.0001	0.0243
743	0.0001	0.0110
744	0.0001	0.0111
745	0.0001	0.0154
746	0.0001	0.0146
747	0.0001	0.0246
748	0.0000	0.0066
749	0.0001	0.0155
750	0.0001	0.0204
751	0.0001	0.0113
752	0.0001	0.0246
753	0.0001	0.0167
