WL(nm)	PL	PE(mW/nm)
380	0.0000	0.0062
381	0.0000	0.0081
382	0.0001	0.0183
383	0.0000	0.0123
384	0.0000	0.0121
385	0.0000	0.0089
386	0.0000	0.0051
387	0.0000	0.0048
388	0.0000	0.0023
389	0.0000	0.0072
390	0.0000	0.0083
391	0.0000	0.0050
392	0.0000	0.0057
393	0.0000	0.0058
394	0.0000	0.0051
395	0.0000	0.0046
396	0.0000	0.0044
397	0.0000	0.0053
398	0.0000	0.0063
399	0.0000	0.0047
400	0.0000	0.0036
401	0.0000	0.0057
402	0.0000	0.0031
403	0.0000	0.0039
404	0.0000	0.0020
405	0.0000	0.0024
406	0.0000	0.0021
407	0.0000	0.0025
408	0.0000	0.0038
409	0.0000	0.0027
410	0.0000	0.0036
411	0.0000	0.0033
412	0.0000	0.0015
413	0.0000	0.0041
414	0.0000	0.0026
415	0.0000	0.0049
416	0.0000	0.0003
417	0.0000	0.0036
418	0.0000	0.0031
419	0.0000	0.0039
420	0.0000	0.0014
421	0.0000	0.0021
422	0.0000	0.0018
423	0.0000	0.0021
424	0.0000	0.0022
425	0.0000	0.0024
426	0.0000	0.0030
427	0.0000	0.0024
428	0.0000	0.0026
429	0.0000	0.0019
430	0.0000	0.0027
431	0.0000	0.0027
432	0.0000	0.0012
433	0.0000	0.0032
434	0.0000	0.0022
435	0.0000	0.0016
436	0.0000	0.0019
437	0.0000	0.0029
438	0.0000	0.0020
439	0.0000	0.0024
440	0.0000	0.0034
441	0.0000	0.0030
442	0.0000	0.0018
443	0.0000	0.0037
444	0.0000	0.0015
445	0.0000	0.0019
446	0.0000	0.0015
447	0.0000	0.0031
448	0.0000	0.0023
449	0.0000	0.0026
450	0.0000	0.0022
451	0.0000	0.0017
452	0.0000	0.0022
453	0.0000	0.0042
454	0.0000	0.0019
455	0.0000	0.0019
456	0.0000	0.0029
457	0.0000	0.0017
458	0.0000	0.0024
459	0.0000	0.0016
460	0.0000	0.0035
461	0.0000	0.0017
462	0.0000	0.0030
463	0.0000	0.0020
464	0.0000	0.0017
465	0.0000	0.0031
466	0.0000	0.0030
467	0.0000	0.0029
468	0.0000	0.0032
469	0.0000	0.0031
470	0.0000	0.0049
471	0.0000	0.0066
472	0.0000	0.0060
473	0.0000	0.0055
474	0.0000	0.0058
475	0.0000	0.0062
476	0.0000	0.0064
477	0.0000	0.0068
478	0.0000	0.0053
479	0.0000	0.0077
480	0.0000	0.0047
481	0.0000	0.0065
482	0.0000	0.0048
483	0.0000	0.0060
484	0.0000	0.0064
485	0.0000	0.0057
486	0.0000	0.0085
487	0.0000	0.0067
488	0.0000	0.0060
489	0.0000	0.0081
490	0.0000	0.0046
491	0.0000	0.0086
492	0.0000	0.0070
493	0.0000	0.0095
494	0.0000	0.0084
495	0.0000	0.0082
496	0.0000	0.0072
497	0.0000	0.0083
498	0.0000	0.0059
499	0.0000	0.0077
500	0.0000	0.0065
501	0.0000	0.0080
502	0.0000	0.0059
503	0.0000	0.0065
504	0.0000	0.0066
505	0.0000	0.0058
506	0.0000	0.0071
507	0.0000	0.0073
508	0.0000	0.0072
509	0.0000	0.0069
510	0.0000	0.0081
511	0.0000	0.0056
512	0.0000	0.0081
513	0.0000	0.0094
514	0.0000	0.0067
515	0.0000	0.0087
516	0.0000	0.0073
517	0.0000	0.0086
518	0.0000	0.0073
519	0.0000	0.0099
520	0.0000	0.0074
521	0.0000	0.0082
522	0.0000	0.0067
523	0.0000	0.0080
524	0.0000	0.0085
525	0.0000	0.0088
526	0.0000	0.0076
527	0.0000	0.0099
528	0.0000	0.0086
529	0.0000	0.0120
530	0.0000	0.0091
531	0.0000	0.0128
532	0.0000	0.0129
533	0.0000	0.0117
534	0.0000	0.0117
535	0.0000	0.0119
536	0.0000	0.0113
537	0.0000	0.0146
538	0.0000	0.0150
539	0.0000	0.0141
540	0.0000	0.0151
541	0.0001	0.0178
542	0.0000	0.0144
543	0.0001	0.0192
544	0.0001	0.0222
545	0.0001	0.0220
546	0.0001	0.0224
547	0.0001	0.0253
548	0.0001	0.0234
549	0.0001	0.0325
550	0.0001	0.0253
551	0.0001	0.0363
552	0.0001	0.0386
553	0.0001	0.0397
554	0.0001	0.0454
555	0.0001	0.0491
556	0.0002	0.0582
557	0.0002	0.0666
558	0.0002	0.0699
559	0.0002	0.0771
560	0.0003	0.1180
561	0.0004	0.1376
562	0.0004	0.1457
563	0.0004	0.1543
564	0.0005	0.1744
565	0.0005	0.1943
566	0.0006	0.2213
567	0.0007	0.2347
568	0.0008	0.2667
569	0.0008	0.2928
570	0.0009	0.3267
571	0.0010	0.3639
572	0.0011	0.4071
573	0.0013	0.4623
574	0.0014	0.5126
575	0.0016	0.5675
576	0.0018	0.6343
577	0.0020	0.7188
578	0.0023	0.8103
579	0.0025	0.9015
580	0.0030	1.0598
581	0.0034	1.1921
582	0.0037	1.3074
583	0.0042	1.4732
584	0.0046	1.6462
585	0.0052	1.8496
586	0.0060	2.1107
587	0.0067	2.3810
588	0.0075	2.6661
589	0.0085	3.0028
590	0.0096	3.3995
591	0.0108	3.8294
592	0.0122	4.3352
