"Wavelength(nm)","Spectrum","Spectrum(W/nm)","AD Value",
"380.0","0.0000","0.0000e+000","56.4",
"381.0","0.0000","0.0000e+000","55.4",
"382.0","0.0000","0.0000e+000","55.6",
"383.0","0.0000","0.0000e+000","55.4",
"384.0","0.0000","0.0000e+000","55.0",
"385.0","0.0000","3.3902e-006","56.7",
"386.0","0.0000","2.4215e-006","56.8",
"387.0","0.0000","0.0000e+000","55.4",
"388.0","0.0000","0.0000e+000","55.6",
"389.0","0.0000","1.2920e-006","56.6",
"390.0","0.0000","9.2655e-007","56.4",
"391.0","0.0000","2.6845e-009","55.4",
"392.0","0.0000","1.0160e-008","55.6",
"393.0","0.0000","1.1294e-006","56.6",
"394.0","0.0000","8.2049e-007","56.4",
"395.0","0.0000","1.3560e-008","55.4",
"396.0","0.0000","1.7749e-008","55.6",
"397.0","0.0000","1.2677e-008","55.4",
"398.0","0.0000","0.0000e+000","55.6",
"399.0","0.0000","8.6928e-007","56.6",
"400.0","0.0000","6.2089e-007","56.4",
"401.0","0.0000","8.1170e-007","56.6",
"402.0","0.0000","1.3626e-006","57.0",
"403.0","0.0000","5.5916e-007","56.4",
"404.0","0.0000","7.5925e-007","56.5",
"405.0","0.0000","5.4230e-007","55.8",
"406.0","0.0000","0.0000e+000","55.5",
"407.0","0.0000","7.0135e-007","56.5",
"408.0","0.0000","1.2088e-006","57.0",
"409.0","0.0000","5.0562e-007","56.4",
"410.0","0.0000","6.8525e-007","56.5",
"411.0","0.0000","4.8944e-007","56.4",
"412.0","0.0000","0.0000e+000","55.4",
"413.0","0.0000","6.6998e-007","56.2",
"414.0","0.0000","4.7854e-007","56.4",
"415.0","0.0000","0.0000e+000","55.4",
"416.0","0.0000","6.4092e-007","56.2",
"417.0","0.0000","1.0893e-006","57.0",
"418.0","0.0000","1.0645e-006","57.0",
"419.0","0.0000","1.6345e-006","57.6",
"420.0","0.0000","8.5446e-007","56.8",
"421.0","0.0000","0.0000e+000","55.4",
"422.0","0.0000","5.6372e-007","56.1",
"423.0","0.0000","1.5450e-006","57.6",
"424.0","0.0000","1.3810e-006","57.4",
"425.0","0.0000","4.0361e-007","55.8",
"426.0","0.0000","0.0000e+000","55.5",
"427.0","0.0000","1.1482e-006","57.1",
"428.0","0.0000","8.2008e-007","56.8",
"429.0","0.0000","5.7681e-007","56.5",
"430.0","0.0000","4.1199e-007","56.4",
"431.0","0.0000","5.8976e-007","56.6",
"432.0","0.0000","4.2307e-007","56.4",
"433.0","0.0000","5.9785e-007","56.6",
"434.0","0.0000","4.4630e-007","56.4",
"435.0","0.0000","1.2553e-006","57.2",
"436.0","0.0000","2.1398e-006","58.0",
"437.0","0.0000","1.5312e-006","57.4",
"438.0","0.0000","1.7248e-006","57.6",
"439.0","0.0000","1.5479e-006","57.4",
"440.0","0.0000","1.7187e-006","57.6",
"441.0","0.0000","2.1618e-006","58.0",
"442.0","0.0000","2.1500e-006","58.0",
"443.0","0.0000","2.1491e-006","58.0",
"444.0","0.0000","2.1542e-006","58.0",
"445.0","0.0000","2.1464e-006","58.0",
"446.0","0.0000","2.7666e-006","58.6",
"447.0","0.0000","3.2113e-006","59.0",
"448.0","0.0000","2.5784e-006","58.4",
"449.0","0.0000","2.7391e-006","58.6",
"450.0","0.0000","3.1439e-006","59.0",
"451.0","0.0000","3.6890e-006","59.6",
"452.0","0.0000","3.4671e-006","59.4",
"453.0","0.0000","2.9670e-006","59.0",
"454.0","0.0000","3.4271e-006","59.6",
"455.0","0.0000","3.1731e-006","59.4",
"456.0","0.0000","2.6875e-006","59.0",
"457.0","0.0000","2.6037e-006","59.0",
"458.0","0.0000","2.5372e-006","59.0",
"459.0","0.0000","2.4929e-006","59.0",
"460.0","0.0000","2.4479e-006","59.0",
"461.0","0.0000","1.9475e-006","58.4",
"462.0","0.0000","2.0451e-006","58.6",
"463.0","0.0000","2.3464e-006","59.0",
"464.0","0.0000","2.3321e-006","59.0",
"465.0","0.0000","2.3154e-006","59.0",
