"Wavelength(nm)","Spectrum","Spectrum(W/nm)","AD Value",
"380.0","0.0003","4.4176e-005","57.6",
"381.0","0.0004","6.1151e-005","58.6",
"382.0","0.0004","6.4427e-005","59.0",
"383.0","0.0003","4.7131e-005","58.4",
"384.0","0.0002","3.4676e-005","58.0",
"385.0","0.0003","4.1694e-005","58.5",
"386.0","0.0003","4.5548e-005","59.0",
"387.0","0.0003","4.2494e-005","59.0",
"388.0","0.0003","3.9521e-005","59.0",
"389.0","0.0003","4.4140e-005","59.5",
"390.0","0.0003","4.6900e-005","60.0",
"391.0","0.0003","4.4614e-005","60.0",
"392.0","0.0004","5.4073e-005","61.1",
"393.0","0.0005","6.6960e-005","62.6",
"394.0","0.0005","6.9038e-005","63.0",
"395.0","0.0006","8.2755e-005","64.8",
"396.0","0.0007","1.0198e-004","67.2",
"397.0","0.0008","1.1551e-004","69.1",
"398.0","0.0010","1.4336e-004","72.9",
"399.0","0.0012","1.7493e-004","77.3",
"400.0","0.0014","2.0203e-004","81.3",
"401.0","0.0016","2.4108e-004","87.0",
"402.0","0.0020","2.9581e-004","95.2",
"403.0","0.0024","3.5553e-004","104.2",
"404.0","0.0029","4.3018e-004","115.0",
"405.0","0.0035","5.1998e-004","128.7",
"406.0","0.0043","6.2772e-004","145.4",
"407.0","0.0051","7.4555e-004","164.0",
"408.0","0.0060","8.8643e-004","185.9",
"409.0","0.0072","1.0523e-003","212.8",
"410.0","0.0085","1.2543e-003","246.5",
"411.0","0.0101","1.4757e-003","284.7",
"412.0","0.0116","1.7066e-003","326.5",
"413.0","0.0135","1.9812e-003","376.9",
"414.0","0.0156","2.2842e-003","432.5",
"415.0","0.0179","2.6237e-003","498.1",
"416.0","0.0205","3.0093e-003","572.9",
"417.0","0.0231","3.3875e-003","649.8",
"418.0","0.0259","3.7980e-003","733.7",
"419.0","0.0289","4.2443e-003","823.5",
"420.0","0.0322","4.7229e-003","918.6",
"421.0","0.0357","5.2469e-003","1022.0",
"422.0","0.0396","5.8102e-003","1132.7",
"423.0","0.0436","6.4002e-003","1247.6",
"424.0","0.0480","7.0493e-003","1365.4",
"425.0","0.0525","7.7111e-003","1485.5",
"426.0","0.0571","8.3840e-003","1606.5",
"427.0","0.0621","9.1142e-003","1732.1",
"428.0","0.0678","9.9512e-003","1858.5",
"429.0","0.0736","1.0803e-002","1997.4",
"430.0","0.0796","1.1692e-002","2158.9",
"431.0","0.0861","1.2639e-002","2329.1",
"432.0","0.0930","1.3659e-002","2513.3",
"433.0","0.0999","1.4671e-002","2696.5",
"434.0","0.1074","1.5770e-002","2885.8",
"435.0","0.1162","1.7065e-002","3078.1",
"436.0","0.1253","1.8401e-002","3277.1",
"437.0","0.1346","1.9769e-002","3495.5",
"438.0","0.1458","2.1405e-002","3740.0",
"439.0","0.1590","2.3340e-002","4023.8",
"440.0","0.1724","2.5309e-002","4338.1",
"441.0","0.1864","2.7372e-002","4673.7",
"442.0","0.2014","2.9565e-002","5052.6",
