WL(nm)	PL	PE(mW/nm)
380	0.0037	2.8765
381	0.0034	2.6934
382	0.0032	2.5033
383	0.0029	2.3031
384	0.0027	2.0797
385	0.0024	1.9006
386	0.0023	1.8017
387	0.0021	1.6402
388	0.0021	1.6127
389	0.0020	1.5341
390	0.0018	1.4251
391	0.0018	1.3685
392	0.0017	1.3515
393	0.0017	1.3012
394	0.0016	1.2496
395	0.0016	1.2210
396	0.0015	1.1979
397	0.0016	1.2127
398	0.0016	1.2234
399	0.0016	1.2320
400	0.0017	1.3083
401	0.0018	1.4057
402	0.0019	1.5147
403	0.0022	1.6940
404	0.0024	1.8792
405	0.0027	2.1277
406	0.0031	2.4326
407	0.0036	2.8044
408	0.0042	3.2634
409	0.0050	3.8903
410	0.0060	4.6526
411	0.0070	5.4881
412	0.0083	6.4670
413	0.0101	7.8695
414	0.0119	9.2904
415	0.0140	10.9707
416	0.0165	12.8660
417	0.0196	15.3176
418	0.0232	18.1475
419	0.0274	21.3831
420	0.0319	24.9380
421	0.0380	29.6750
422	0.0440	34.4071
423	0.0518	40.4317
424	0.0589	46.0347
425	0.0691	53.9789
426	0.0795	62.1001
427	0.0920	71.8571
428	0.1047	81.7694
429	0.1196	93.4727
430	0.1351	105.5761
431	0.1573	122.9187
432	0.1778	138.9167
433	0.1988	155.3211
434	0.2235	174.5907
435	0.2525	197.2757
436	0.2807	219.2940
437	0.3128	244.3682
438	0.3470	271.0818
439	0.3846	300.4970
440	0.4316	337.1887
441	0.4868	380.2880
442	0.5347	417.7316
443	0.6028	470.9296
444	0.6614	516.7246
445	0.7221	564.1654
446	0.7842	612.6814
447	0.8507	664.6420
448	0.9107	711.4682
449	0.9523	743.9980
450	0.9893	772.9041
451	1.0000	781.2712
452	0.9908	774.0939
453	0.9696	757.5427
454	0.9165	716.0254
455	0.8722	681.3913
456	0.8160	637.5195
457	0.7473	583.8355
458	0.6846	534.8759
459	0.6187	483.3763
460	0.5587	436.4588
461	0.5090	397.6885
462	0.4640	362.4994
463	0.4255	332.4521
464	0.3960	309.3746
465	0.3668	286.5360
466	0.3385	264.4979
467	0.3137	245.1002
468	0.2872	224.3582
469	0.2607	203.6624
470	0.2364	184.6545
471	0.2109	164.7551
472	0.1903	148.6519
473	0.1736	135.6046
474	0.1547	120.8712
475	0.1398	109.2138
476	0.1273	99.4428
477	0.1169	91.3388
478	0.1069	83.5376
479	0.0990	77.3187
480	0.0908	70.9466
481	0.0858	67.0099
482	0.0799	62.4374
483	0.0760	59.3563
484	0.0724	56.5543
485	0.0686	53.5690
486	0.0660	51.5506
487	0.0639	49.9114
488	0.0616	48.0891
489	0.0604	47.1548
490	0.0598	46.7242
491	0.0596	46.5379
492	0.0602	47.0432
493	0.0612	47.8090
494	0.0630	49.2418
495	0.0652	50.9060
496	0.0677	52.8899
497	0.0711	55.5471
498	0.0750	58.5891
499	0.0790	61.7146
500	0.0836	65.3222
501	0.0893	69.7780
502	0.0952	74.3723
503	0.1024	80.0144
504	0.1097	85.6835
505	0.1172	91.5815
506	0.1252	97.8162
507	0.1345	105.1066
508	0.1435	112.1214
509	0.1535	119.9560
510	0.1667	130.2602
511	0.1766	137.9447
512	0.1885	147.2760
513	0.2003	156.5203
514	0.2134	166.7275
515	0.2253	176.0031
516	0.2371	185.2559
517	0.2487	194.3201
518	0.2594	202.6543
519	0.2692	210.2896
520	0.2785	217.5906
521	0.2865	223.8536
522	0.2923	228.3790
523	0.2967	231.7879
524	0.2984	233.1140
525	0.2994	233.9165
526	0.2998	234.1910
527	0.2963	231.5057
528	0.2930	228.9274
529	0.2897	226.3324
530	0.2844	222.1990
531	0.2773	216.6592
532	0.2724	212.7866
533	0.2628	205.3285
534	0.2558	199.8338
535	0.2485	194.1586
536	0.2413	188.5029
537	0.2343	183.0373
538	0.2265	176.9966
539	0.2211	172.7321
540	0.2146	167.6853
541	0.2068	161.5457
542	0.2025	158.1763
543	0.1963	153.4000
544	0.1904	148.7803
545	0.1867	145.8451
546	0.1801	140.7199
547	0.1756	137.1841
548	0.1695	132.4150
549	0.1662	129.8449
550	0.1603	125.2524
551	0.1555	121.5082
552	0.1518	118.5784
553	0.1478	115.4872
554	0.1440	112.5036
555	0.1405	109.7937
556	0.1370	107.0079
557	0.1323	103.3607
558	0.1302	101.7394
559	0.1270	99.2349
560	0.1237	96.6141
561	0.1212	94.7029
562	0.1186	92.6721
563	0.1168	91.2234
564	0.1142	89.1873
565	0.1114	87.0552
566	0.1100	85.9144
567	0.1078	84.1837
568	0.1060	82.8053
569	0.1044	81.5345
570	0.1022	79.8133
571	0.1005	78.4932
572	0.0986	77.0724
573	0.0978	76.4470
574	0.0962	75.1519
575	0.0952	74.3471
576	0.0936	73.1634
577	0.0927	72.4247
578	0.0917	71.6313
579	0.0904	70.6260
580	0.0900	70.3094
581	0.0884	69.0951
582	0.0879	68.6364
583	0.0868	67.7817
584	0.0859	67.1125
585	0.0851	66.5206
586	0.0845	66.0132
587	0.0835	65.2229
588	0.0827	64.5857
589	0.0826	64.5711
590	0.0816	63.7719
591	0.0813	63.5038
592	0.0804	62.8496
593	0.0805	62.8604
594	0.0796	62.2242
595	0.0796	62.1594
596	0.0799	62.4199
597	0.0803	62.7277
598	0.0799	62.4501
599	0.0807	63.0335
600	0.0809	63.2380
601	0.0815	63.6865
602	0.0825	64.4190
603	0.0832	65.0148
604	0.0843	65.8291
605	0.0856	66.8754
606	0.0872	68.1142
607	0.0888	69.3645
608	0.0909	71.0545
609	0.0930	72.6732
610	0.0963	75.2441
611	0.0988	77.1523
612	0.1006	78.5995
613	0.1052	82.1660
614	0.1087	84.9214
615	0.1131	88.3816
616	0.1178	92.0136
617	0.1227	95.8672
618	0.1294	101.0976
619	0.1369	106.9268
620	0.1449	113.2288
621	0.1533	119.7465
622	0.1621	126.6574
623	0.1719	134.2793
624	0.1827	142.7720
625	0.1940	151.5933
626	0.2052	160.3243
627	0.2221	173.5380
628	0.2366	184.8583
629	0.2510	196.1096
630	0.2691	210.2652
631	0.2861	223.5170
632	0.3063	239.3078
633	0.3292	257.1766
634	0.3503	273.7028
635	0.3719	290.5653
636	0.3943	308.0261
637	0.4172	325.9577
638	0.4378	342.0746
639	0.4525	353.5605
640	0.4691	366.4961
641	0.4750	371.1160
642	0.4713	368.2415
643	0.4603	359.5951
644	0.4396	343.4381
645	0.4091	319.6496
646	0.3754	293.2891
647	0.3384	264.4034
648	0.2980	232.7982
649	0.2596	202.8355
650	0.2233	174.4803
651	0.1923	150.2600
652	0.1654	129.2059
653	0.1418	110.8074
654	0.1232	96.2596
655	0.1061	82.8572
656	0.0919	71.8366
657	0.0805	62.9274
658	0.0709	55.3997
659	0.0625	48.8192
660	0.0537	41.9525
661	0.0475	37.1187
662	0.0431	33.6571
663	0.0391	30.5359
664	0.0358	27.9769
665	0.0331	25.8953
666	0.0312	24.3907
667	0.0288	22.4728
668	0.0270	21.1101
669	0.0254	19.8372
670	0.0240	18.7470
671	0.0227	17.7303
672	0.0218	17.0350
673	0.0208	16.2159
674	0.0199	15.5091
675	0.0190	14.8243
676	0.0181	14.1471
677	0.0175	13.7035
678	0.0170	13.2679
679	0.0163	12.7478
680	0.0157	12.2361
681	0.0154	12.0048
682	0.0147	11.4614
683	0.0144	11.2215
684	0.0139	10.8378
685	0.0136	10.6407
686	0.0132	10.3345
687	0.0127	9.9590
688	0.0124	9.7206
689	0.0121	9.4704
690	0.0120	9.3404
691	0.0117	9.1269
692	0.0114	8.8743
693	0.0110	8.5987
694	0.0105	8.1687
695	0.0103	8.0484
696	0.0102	7.9843
697	0.0098	7.6342
698	0.0096	7.5172
699	0.0094	7.3738
700	0.0091	7.1141
701	0.0090	7.0303
702	0.0087	6.7692
703	0.0084	6.5421
704	0.0082	6.4064
705	0.0081	6.3084
706	0.0078	6.1302
707	0.0077	6.0321
708	0.0075	5.8728
709	0.0072	5.6369
710	0.0070	5.4980
711	0.0070	5.4916
712	0.0069	5.3608
713	0.0066	5.1801
714	0.0065	5.1163
715	0.0064	4.9776
716	0.0061	4.7461
717	0.0059	4.6338
718	0.0058	4.5275
719	0.0058	4.5023
720	0.0056	4.3573
721	0.0053	4.1626
722	0.0053	4.1379
723	0.0051	3.9661
724	0.0051	3.9896
725	0.0050	3.9153
726	0.0049	3.8205
727	0.0047	3.6931
728	0.0045	3.5011
729	0.0045	3.5106
730	0.0044	3.4057
731	0.0042	3.3135
732	0.0042	3.2617
733	0.0042	3.2448
734	0.0039	3.0679
735	0.0039	3.0344
736	0.0038	2.9677
737	0.0038	2.9544
738	0.0036	2.8449
739	0.0035	2.7102
740	0.0033	2.5931
741	0.0034	2.6407
742	0.0033	2.5711
743	0.0032	2.4797
744	0.0032	2.4628
745	0.0030	2.3474
746	0.0029	2.2838
747	0.0028	2.2205
748	0.0028	2.2118
749	0.0029	2.2414
750	0.0028	2.1894
751	0.0026	2.0699
752	0.0027	2.0764
753	0.0026	2.0565
754	0.0025	1.9336
755	0.0024	1.8551
756	0.0024	1.8530
757	0.0024	1.8522
758	0.0023	1.7639
759	0.0023	1.8189
760	0.0023	1.8137
761	0.0021	1.6408
762	0.0023	1.7892
763	0.0021	1.6400
