WL(nm)	PL	PE(mW/nm)
380	0.0038	2.4345
381	0.0034	2.1974
382	0.0030	1.9330
383	0.0028	1.7829
384	0.0025	1.5809
385	0.0024	1.5380
386	0.0021	1.3786
387	0.0021	1.3380
388	0.0020	1.2701
389	0.0018	1.1660
390	0.0017	1.0840
391	0.0016	1.0338
392	0.0016	1.0329
393	0.0015	0.9622
394	0.0015	0.9638
395	0.0014	0.8918
396	0.0014	0.8773
397	0.0014	0.8804
398	0.0014	0.8822
399	0.0014	0.8762
400	0.0014	0.9161
401	0.0015	0.9637
402	0.0016	1.0308
403	0.0017	1.0962
404	0.0019	1.2003
405	0.0020	1.3102
406	0.0023	1.4854
407	0.0026	1.6517
408	0.0029	1.8823
409	0.0034	2.1586
410	0.0040	2.5650
411	0.0047	3.0344
412	0.0056	3.6090
413	0.0066	4.2399
414	0.0078	5.0409
415	0.0091	5.8795
416	0.0109	7.0122
417	0.0130	8.3778
418	0.0153	9.8693
419	0.0185	11.9280
420	0.0219	14.0736
421	0.0260	16.7251
422	0.0302	19.4240
423	0.0364	23.3868
424	0.0428	27.5084
425	0.0504	32.4380
426	0.0584	37.5482
427	0.0682	43.8701
428	0.0790	50.8321
429	0.0925	59.5282
430	0.1076	69.2380
431	0.1246	80.1155
432	0.1425	91.6425
433	0.1624	104.4452
434	0.1869	120.1983
435	0.2130	137.0239
436	0.2393	153.9110
437	0.2692	173.1420
438	0.3022	194.3838
439	0.3435	220.9670
440	0.3827	246.1528
441	0.4385	282.0376
442	0.4876	313.6102
443	0.5469	351.7782
444	0.6138	394.8250
445	0.6800	437.3744
446	0.7439	478.4951
447	0.8104	521.2844
448	0.8699	559.5349
449	0.9268	596.1118
450	0.9708	624.4193
451	0.9896	636.5424
452	1.0000	643.2193
453	0.9972	641.4135
454	0.9498	610.9468
455	0.8951	575.7675
456	0.8377	538.8257
457	0.7718	496.4540
458	0.7076	455.1463
459	0.6413	412.4993
460	0.5817	374.1480
461	0.5330	342.8456
462	0.4852	312.0811
463	0.4487	288.6314
464	0.4075	262.1282
465	0.3783	243.3321
466	0.3474	223.4768
467	0.3195	205.4953
468	0.2946	189.5013
469	0.2685	172.6885
470	0.2403	154.5588
471	0.2162	139.0597
472	0.1955	125.7352
473	0.1744	112.1993
