WL(nm)	PL	PE(mW/nm)
380	0.0008	0.2929
381	0.0005	0.2118
382	0.0006	0.2159
383	0.0005	0.1759
384	0.0005	0.1838
385	0.0004	0.1715
386	0.0004	0.1545
387	0.0004	0.1667
388	0.0004	0.1406
389	0.0003	0.1174
390	0.0003	0.1055
391	0.0003	0.1107
392	0.0003	0.1018
393	0.0003	0.0990
394	0.0003	0.1080
395	0.0002	0.0903
396	0.0002	0.0905
397	0.0002	0.0750
398	0.0002	0.0731
399	0.0002	0.0786
400	0.0002	0.0765
401	0.0002	0.0717
402	0.0002	0.0761
403	0.0002	0.0705
404	0.0002	0.0655
405	0.0002	0.0624
406	0.0002	0.0621
407	0.0002	0.0652
408	0.0002	0.0603
409	0.0001	0.0554
410	0.0002	0.0580
411	0.0002	0.0602
412	0.0002	0.0603
413	0.0001	0.0535
414	0.0002	0.0587
415	0.0001	0.0541
416	0.0001	0.0505
417	0.0001	0.0502
418	0.0001	0.0475
419	0.0001	0.0505
420	0.0001	0.0489
421	0.0001	0.0473
422	0.0001	0.0462
423	0.0001	0.0487
424	0.0001	0.0489
425	0.0001	0.0433
426	0.0001	0.0467
427	0.0001	0.0465
428	0.0001	0.0453
429	0.0001	0.0457
430	0.0001	0.0478
431	0.0001	0.0484
432	0.0001	0.0481
433	0.0001	0.0462
434	0.0001	0.0465
435	0.0001	0.0422
436	0.0001	0.0431
437	0.0001	0.0489
438	0.0001	0.0502
439	0.0001	0.0510
440	0.0001	0.0546
441	0.0001	0.0522
442	0.0001	0.0546
443	0.0001	0.0572
444	0.0002	0.0614
445	0.0002	0.0651
446	0.0002	0.0684
447	0.0002	0.0782
448	0.0002	0.0820
449	0.0002	0.0844
450	0.0002	0.0884
451	0.0003	0.1031
452	0.0003	0.1159
453	0.0003	0.1321
454	0.0004	0.1418
455	0.0004	0.1558
456	0.0004	0.1693
457	0.0005	0.2015
458	0.0006	0.2186
459	0.0006	0.2423
460	0.0008	0.2917
461	0.0008	0.3256
462	0.0009	0.3563
463	0.0011	0.4236
464	0.0012	0.4626
465	0.0014	0.5407
466	0.0016	0.6095
467	0.0018	0.7096
468	0.0021	0.7920
469	0.0024	0.9271
470	0.0029	1.1217
471	0.0033	1.2620
472	0.0037	1.4439
473	0.0042	1.6296
474	0.0048	1.8370
475	0.0054	2.0703
476	0.0061	2.3476
477	0.0069	2.6560
478	0.0078	3.0047
479	0.0088	3.3864
480	0.0099	3.8270
481	0.0113	4.3595
482	0.0128	4.9398
483	0.0144	5.5407
484	0.0163	6.2873
485	0.0179	6.9148
486	0.0203	7.8090
487	0.0226	8.7036
488	0.0255	9.8124
489	0.0283	10.8858
490	0.0320	12.3161
491	0.0356	13.7140
492	0.0397	15.2827
493	0.0443	17.0535
494	0.0492	18.9488
495	0.0547	21.0884
496	0.0612	23.5947
497	0.0671	25.8597
498	0.0750	28.9080
499	0.0830	31.9879
500	0.0925	35.6437
501	0.1018	39.2126
502	0.1139	43.8878
503	0.1249	48.1338
504	0.1390	53.5589
505	0.1549	59.6601
