"Wavelength(nm)","Spectrum","Spectrum(W/nm)","AD Value",
"380.0","0.0001","1.1189e-005","59.0",
"381.0","0.0001","1.0145e-005","59.0",
"382.0","0.0001","1.4117e-005","60.1",
"383.0","0.0001","1.6368e-005","61.0",
"384.0","0.0001","1.6950e-005","61.6",
"385.0","0.0001","1.7274e-005","62.0",
"386.0","0.0001","1.7943e-005","62.6",
"387.0","0.0002","1.9564e-005","63.6",
"388.0","0.0002","2.2574e-005","65.2",
"389.0","0.0002","2.5032e-005","66.6",
"390.0","0.0002","2.8869e-005","68.7",
"391.0","0.0003","3.4525e-005","71.8",
"392.0","0.0004","4.3038e-005","76.5",
"393.0","0.0004","5.3296e-005","81.9",
"394.0","0.0006","6.6187e-005","89.2",
"395.0","0.0007","8.2937e-005","98.8",
"396.0","0.0008","1.0146e-004","110.0",
"397.0","0.0010","1.2501e-004","124.9",
"398.0","0.0013","1.5856e-004","146.0",
"399.0","0.0016","1.9444e-004","169.9",
"400.0","0.0020","2.3814e-004","199.2",
"401.0","0.0025","2.9582e-004","238.5",
"402.0","0.0031","3.6926e-004","290.1",
"403.0","0.0038","4.5133e-004","348.4",
"404.0","0.0046","5.4505e-004","413.1",
"405.0","0.0055","6.5952e-004","496.3",
"406.0","0.0067","7.9694e-004","597.9",
"407.0","0.0081","9.7017e-004","727.0",
"408.0","0.0097","1.1672e-003","872.2",
"409.0","0.0116","1.3914e-003","1045.1",
"410.0","0.0137","1.6463e-003","1248.1",
"411.0","0.0159","1.9075e-003","1465.7",
"412.0","0.0186","2.2212e-003","1735.2",
"413.0","0.0215","2.5763e-003","2045.5",
"414.0","0.0248","2.9652e-003","2386.1",
"415.0","0.0281","3.3664e-003","2759.7",
"416.0","0.0317","3.7944e-003","3162.6",
"417.0","0.0357","4.2785e-003","3631.3",
"418.0","0.0402","4.8098e-003","4146.7",
"419.0","0.0447","5.3556e-003","4672.2",
"420.0","0.0493","5.9085e-003","5199.4",
"421.0","0.0541","6.4764e-003","5739.2",
"422.0","0.0593","7.0981e-003","6325.4",
"423.0","0.0646","7.7337e-003","6918.1",
"424.0","0.0699","8.3645e-003","7461.0",
"425.0","0.0749","8.9701e-003","7981.3",
"426.0","0.0801","9.5903e-003","8508.8",
"427.0","0.0851","1.0195e-002","8992.0",
"428.0","0.0911","1.0907e-002","9472.3",
"429.0","0.0963","1.1529e-002","9930.4",
"430.0","0.1011","1.2102e-002","10429.1",
"431.0","0.1060","1.2691e-002","10933.4",
"432.0","0.1104","1.3217e-002","11388.1",
"433.0","0.1141","1.3664e-002","11776.7",
"434.0","0.1172","1.4039e-002","12062.8",
"435.0","0.1209","1.4478e-002","12277.9",
"436.0","0.1237","1.4814e-002","12415.4",
"437.0","0.1255","1.5022e-002","12512.7",
"438.0","0.1272","1.5230e-002","12551.7",
"439.0","0.1293","1.5477e-002","12597.7",
"440.0","0.1298","1.5544e-002","12589.3",
"441.0","0.1297","1.5529e-002","12542.6",
"442.0","0.1286","1.5393e-002","12452.3",
"443.0","0.1270","1.5209e-002","12259.1",
"444.0","0.1244","1.4893e-002","12008.1",
"445.0","0.1204","1.4418e-002","11697.4",
"446.0","0.1154","1.3817e-002","11296.5",
"447.0","0.1103","1.3202e-002","10875.7",
"448.0","0.1045","1.2513e-002","10404.0",
"449.0","0.0979","1.1722e-002","9857.4",
"450.0","0.0907","1.0855e-002","9265.0",
"451.0","0.0837","1.0020e-002","8695.6",
"452.0","0.0767","9.1882e-003","8107.4",
"453.0","0.0702","8.4086e-003","7564.8",
"454.0","0.0642","7.6857e-003","7094.6",
"455.0","0.0582","6.9710e-003","6631.7",
"456.0","0.0533","6.3792e-003","6254.1",
"457.0","0.0489","5.8518e-003","5908.8",
"458.0","0.0450","5.3910e-003","5592.1",
"459.0","0.0418","5.0091e-003","5325.9",
"460.0","0.0390","4.6717e-003","5097.5",
