WL(nm)	PL	PE(mW/nm)
380	0.0050	0.7371
381	0.0045	0.6586
382	0.0039	0.5733
383	0.0036	0.5271
384	0.0033	0.4842
385	0.0032	0.4782
386	0.0029	0.4202
387	0.0028	0.4058
388	0.0027	0.3949
389	0.0026	0.3804
390	0.0024	0.3548
391	0.0022	0.3169
392	0.0022	0.3212
393	0.0021	0.3123
394	0.0021	0.3062
395	0.0019	0.2862
396	0.0020	0.3016
397	0.0021	0.3085
398	0.0023	0.3381
399	0.0024	0.3561
400	0.0027	0.3920
401	0.0030	0.4351
402	0.0035	0.5095
403	0.0039	0.5712
404	0.0046	0.6796
405	0.0054	0.7914
406	0.0065	0.9526
407	0.0077	1.1285
408	0.0090	1.3288
409	0.0111	1.6364
410	0.0137	2.0122
411	0.0165	2.4328
412	0.0200	2.9409
413	0.0234	3.4475
414	0.0285	4.1969
415	0.0338	4.9729
416	0.0398	5.8575
417	0.0476	7.0090
418	0.0557	8.1976
419	0.0662	9.7432
420	0.0765	11.2702
421	0.0894	13.1632
422	0.1022	15.0577
423	0.1199	17.6623
424	0.1380	20.3265
425	0.1581	23.2798
426	0.1761	25.9317
427	0.1995	29.3863
428	0.2229	32.8318
429	0.2504	36.8769
430	0.2790	41.0876
431	0.3090	45.5070
432	0.3390	49.9354
433	0.3680	54.2015
434	0.4048	59.6186
435	0.4406	64.8945
436	0.4731	69.6736
437	0.5110	75.2638
438	0.5510	81.1459
439	0.6013	88.5674
440	0.6432	94.7348
441	0.7084	104.3361
442	0.7564	111.4082
443	0.8121	119.6080
444	0.8722	128.4569
445	0.9228	135.9103
446	0.9584	141.1568
447	0.9876	145.4520
448	0.9980	146.9948
449	1.0000	147.2835
450	0.9798	144.3054
451	0.9338	137.5311
452	0.8853	130.3952
453	0.8283	121.9903
454	0.7461	109.8867
455	0.6702	98.7111
456	0.6043	89.0048
457	0.5423	79.8726
458	0.4906	72.2521
459	0.4446	65.4871
460	0.4067	59.9005
461	0.3774	55.5797
462	0.3510	51.6929
463	0.3295	48.5235
464	0.3043	44.8220
465	0.2873	42.3192
466	0.2668	39.2918
467	0.2476	36.4652
468	0.2300	33.8777
469	0.2121	31.2356
470	0.1922	28.3059
471	0.1778	26.1905
472	0.1647	24.2638
473	0.1517	22.3499
474	0.1410	20.7626
475	0.1323	19.4842
