WL(nm)	PL	PE(mW/nm)
380	0.0113	1.0324
381	0.0095	0.8632
382	0.0086	0.7814
383	0.0077	0.7019
384	0.0079	0.7183
385	0.0065	0.5889
386	0.0059	0.5342
387	0.0054	0.4936
388	0.0053	0.4863
389	0.0047	0.4288
390	0.0048	0.4406
391	0.0047	0.4259
392	0.0042	0.3827
393	0.0043	0.3878
394	0.0040	0.3686
395	0.0042	0.3868
396	0.0044	0.3996
397	0.0046	0.4199
398	0.0049	0.4503
399	0.0055	0.5026
400	0.0059	0.5331
401	0.0066	0.6030
402	0.0076	0.6879
403	0.0084	0.7683
404	0.0097	0.8873
405	0.0111	1.0095
406	0.0127	1.1523
407	0.0152	1.3805
408	0.0166	1.5112
409	0.0204	1.8605
410	0.0230	2.0980
411	0.0269	2.4540
412	0.0317	2.8876
413	0.0371	3.3832
414	0.0425	3.8682
415	0.0491	4.4745
416	0.0566	5.1512
417	0.0656	5.9721
418	0.0752	6.8485
419	0.0853	7.7724
420	0.0974	8.8716
421	0.1104	10.0582
422	0.1240	11.2890
423	0.1401	12.7569
424	0.1578	14.3721
425	0.1763	16.0598
426	0.1985	18.0801
427	0.2137	19.4667
428	0.2349	21.3976
429	0.2642	24.0623
430	0.2841	25.8748
431	0.3152	28.7075
432	0.3383	30.8089
433	0.3660	33.3376
434	0.3935	35.8364
435	0.4187	38.1331
436	0.4551	41.4480
437	0.4824	43.9316
438	0.5062	46.1040
439	0.5453	49.6661
440	0.5714	52.0425
441	0.5977	54.4394
442	0.6326	57.6167
443	0.6693	60.9602
444	0.7071	64.3949
445	0.7465	67.9878
446	0.7767	70.7339
447	0.8178	74.4816
448	0.8583	78.1705
449	0.8950	81.5109
450	0.9266	84.3911
451	0.9627	87.6753
452	0.9773	89.0025
453	0.9943	90.5564
454	0.9950	90.6193
455	1.0000	91.0744
456	0.9936	90.4873
457	0.9724	88.5612
458	0.9385	85.4749
459	0.9089	82.7812
460	0.8708	79.3047
461	0.8255	75.1833
462	0.7849	71.4808
463	0.7351	66.9509
464	0.7010	63.8418
465	0.6564	59.7770
466	0.6223	56.6752
467	0.5860	53.3658
468	0.5641	51.3710
