"Wavelength(nm)","Spectrum","Spectrum(W/nm)","AD Value",
"380.0","0.0000","0.0000e+000","55.0",
"381.0","0.0000","0.0000e+000","55.0",
"382.0","0.0000","0.0000e+000","55.0",
"383.0","0.0002","7.5292e-005","55.5",
"384.0","0.0003","1.2451e-004","56.0",
"385.0","0.0001","5.0523e-005","55.4",
"386.0","0.0001","6.2675e-005","55.6",
"387.0","0.0005","2.1912e-004","57.2",
"388.0","0.0005","2.3195e-004","57.4",
"389.0","0.0003","1.2760e-004","56.4",
"390.0","0.0004","1.7862e-004","57.1",
"391.0","0.0003","1.4740e-004","56.8",
"392.0","0.0002","7.3753e-005","56.0",
"393.0","0.0002","7.1915e-005","56.0",
"394.0","0.0002","6.9690e-005","56.0",
"395.0","0.0001","6.6350e-005","56.0",
"396.0","0.0002","1.0089e-004","56.5",
"397.0","0.0003","1.2428e-004","57.0",
"398.0","0.0002","8.5133e-005","56.4",
"399.0","0.0001","5.7965e-005","56.0",
"400.0","0.0002","8.9768e-005","56.6",
"401.0","0.0002","1.1075e-004","57.0",
"402.0","0.0002","7.6682e-005","56.4",
"403.0","0.0002","8.1853e-005","56.5",
"404.0","0.0002","7.3302e-005","56.4",
"405.0","0.0002","8.1283e-005","56.6",
"406.0","0.0005","2.1763e-004","59.3",
"407.0","0.0005","2.3856e-004","59.8",
"408.0","0.0004","1.9572e-004","59.0",
"409.0","0.0005","2.2158e-004","59.6",
"410.0","0.0005","2.3708e-004","60.0",
"411.0","0.0007","3.1438e-004","61.8",
"412.0","0.0008","3.6275e-004","63.0",
"413.0","0.0009","4.0597e-004","64.1",
"414.0","0.0011","4.8792e-004","66.1",
"415.0","0.0013","5.8856e-004","68.7",
"416.0","0.0016","7.0369e-004","71.7",
"417.0","0.0018","8.1213e-004","74.7",
"418.0","0.0022","9.6479e-004","78.9",
"419.0","0.0026","1.1766e-003","84.5",
"420.0","0.0031","1.4033e-003","90.5",
"421.0","0.0039","1.7192e-003","98.9",
"422.0","0.0050","2.2155e-003","111.9",
"423.0","0.0057","2.5427e-003","120.6",
"424.0","0.0067","2.9844e-003","131.8",
"425.0","0.0079","3.5294e-003","145.7",
"426.0","0.0093","4.1273e-003","160.7",
"427.0","0.0110","4.8878e-003","179.5",
"428.0","0.0131","5.8533e-003","201.8",
"429.0","0.0156","6.9767e-003","228.7",
"430.0","0.0184","8.2082e-003","259.6",
"431.0","0.0215","9.6072e-003","294.4",
"432.0","0.0251","1.1181e-002","333.7",
"433.0","0.0292","1.3010e-002","379.4",
"434.0","0.0339","1.5115e-002","430.8",
"435.0","0.0395","1.7620e-002","487.2",
"436.0","0.0458","2.0426e-002","550.4",
"437.0","0.0533","2.3748e-002","627.4",
"438.0","0.0621","2.7673e-002","714.8",
"439.0","0.0721","3.2137e-002","811.8",
"440.0","0.0830","3.7016e-002","922.7",
"441.0","0.0953","4.2496e-002","1048.3",
"442.0","0.1090","4.8630e-002","1193.8",
"443.0","0.1252","5.5847e-002","1357.2",
"444.0","0.1426","6.3610e-002","1539.6",
"445.0","0.1617","7.2126e-002","1748.4",
"446.0","0.1829","8.1575e-002","1985.2",
"447.0","0.2066","9.2120e-002","2250.4",
"448.0","0.2322","1.0353e-001","2545.3",
"449.0","0.2593","1.1565e-001","2867.6",
"450.0","0.2879","1.2841e-001","3224.6",
"451.0","0.3194","1.4244e-001","3627.7",
"452.0","0.3541","1.5791e-001","4080.9",
"453.0","0.3915","1.7459e-001","4591.5",
"454.0","0.4288","1.9121e-001","5152.2",
"455.0","0.4660","2.0779e-001","5760.7",
"456.0","0.5050","2.2523e-001","6423.8",
"457.0","0.5462","2.4357e-001","7145.4",
"458.0","0.5888","2.6256e-001","7899.7",
"459.0","0.6324","2.8203e-001","8687.6",
"460.0","0.6748","3.0094e-001","9503.4",
"461.0","0.7196","3.2092e-001","10322.7",
"462.0","0.7607","3.3925e-001","11111.3",
"463.0","0.7996","3.5659e-001","11851.6",
"464.0","0.8416","3.7532e-001","12519.9",
"465.0","0.8771","3.9113e-001","13083.5",
"466.0","0.9118","4.0663e-001","13505.3",
"467.0","0.9440","4.2099e-001","13778.7",
"468.0","0.9631","4.2949e-001","13920.7",
"469.0","0.9824","4.3809e-001","13884.1",
"470.0","0.9961","4.4421e-001","13536.9",
"471.0","1.0000","4.4596e-001","13874.6",
"472.0","0.9981","4.4511e-001","14146.0",
"473.0","0.9862","4.3982e-001","13866.3",
"474.0","0.9688","4.3203e-001","13440.4",
"475.0","0.9439","4.2096e-001","12878.6",
"476.0","0.9107","4.0615e-001","12225.5",
"477.0","0.8737","3.8961e-001","11523.9",
"478.0","0.8329","3.7142e-001","10828.5",
"479.0","0.7907","3.5260e-001","10157.3",
"480.0","0.7459","3.3262e-001","9483.0",
"481.0","0.6982","3.1136e-001","8798.6",
"482.0","0.6512","2.9042e-001","8118.9",
"483.0","0.6054","2.6998e-001","7417.2",
"484.0","0.5602","2.4984e-001","6711.6",
"485.0","0.5174","2.3072e-001","6043.2",
"486.0","0.4754","2.1202e-001","5446.2",
"487.0","0.4357","1.9432e-001","4936.4",
"488.0","0.3981","1.7751e-001","4504.7",
"489.0","0.3661","1.6328e-001","4150.1",
"490.0","0.3365","1.5008e-001","3842.7",
"491.0","0.3094","1.3800e-001","3558.6",
"492.0","0.2851","1.2714e-001","3284.8",
"493.0","0.2610","1.1639e-001","3015.9",
"494.0","0.2407","1.0733e-001","2763.8",
"495.0","0.2206","9.8391e-002","2516.8",
"496.0","0.2013","8.9777e-002","2285.1",
"497.0","0.1845","8.2273e-002","2081.3",
"498.0","0.1688","7.5281e-002","1894.0",
"499.0","0.1540","6.8682e-002","1720.5",
"500.0","0.1399","6.2368e-002","1560.9",
"501.0","0.1271","5.6689e-002","1412.7",
"502.0","0.1160","5.1712e-002","1277.1",
"503.0","0.1054","4.7005e-002","1151.7",
"504.0","0.0956","4.2644e-002","1039.0",
"505.0","0.0871","3.8821e-002","940.2",
"506.0","0.0792","3.5335e-002","853.2",
"507.0","0.0719","3.2058e-002","775.0",
"508.0","0.0653","2.9103e-002","708.1",
"509.0","0.0596","2.6583e-002","648.7",
"510.0","0.0543","2.4224e-002","592.7",
"511.0","0.0495","2.2089e-002","543.5",
"512.0","0.0455","2.0280e-002","499.4",
"513.0","0.0414","1.8470e-002","457.7",
"514.0","0.0379","1.6882e-002","420.8",
"515.0","0.0347","1.5490e-002","388.2",
"516.0","0.0318","1.4164e-002","358.1",
"517.0","0.0291","1.2961e-002","330.5",
"518.0","0.0267","1.1906e-002","306.6",
"519.0","0.0244","1.0861e-002","283.0",
"520.0","0.0222","9.9121e-003","260.6",
"521.0","0.0205","9.1502e-003","242.1",
"522.0","0.0188","8.3763e-003","223.8",
"523.0","0.0171","7.6439e-003","207.0",
"524.0","0.0156","6.9486e-003","191.5",
"525.0","0.0146","6.4893e-003","180.8",
"526.0","0.0135","6.0295e-003","170.9",
"527.0","0.0123","5.4799e-003","160.1",
"528.0","0.0112","4.9921e-003","150.6",
"529.0","0.0103","4.5910e-003","142.9",
"530.0","0.0096","4.2850e-003","137.1",
"531.0","0.0088","3.9357e-003","130.3",
"532.0","0.0085","3.8099e-003","127.5",
"533.0","0.0078","3.4898e-003","121.0",
"534.0","0.0071","3.1498e-003","114.2",
"535.0","0.0067","2.9819e-003","110.6",
"536.0","0.0063","2.7933e-003","106.6",
"537.0","0.0058","2.5918e-003","102.7",
"538.0","0.0055","2.4596e-003","99.8",
"539.0","0.0053","2.3642e-003","97.8",
"540.0","0.0049","2.1707e-003","94.0",
"541.0","0.0044","1.9698e-003","90.2",
"542.0","0.0041","1.8090e-003","87.2",
"543.0","0.0038","1.7169e-003","85.5",
"544.0","0.0037","1.6362e-003","83.8",
"545.0","0.0035","1.5636e-003","82.4",
"546.0","0.0033","1.4814e-003","80.8",
"547.0","0.0031","1.3796e-003","78.8",
"548.0","0.0030","1.3399e-003","78.0",
"549.0","0.0029","1.2792e-003","76.8",
"550.0","0.0027","1.2067e-003","75.3",
"551.0","0.0024","1.0900e-003","73.2",
"552.0","0.0022","9.8927e-004","71.4",
"553.0","0.0021","9.3268e-004","70.4",
"554.0","0.0020","9.1414e-004","70.0",
"555.0","0.0021","9.2050e-004","70.0",
"556.0","0.0019","8.5780e-004","68.9",
"557.0","0.0021","9.1936e-004","69.8",
"558.0","0.0025","1.1106e-003","72.7",
"559.0","0.0020","9.0478e-004","69.3",
"560.0","0.0017","7.3697e-004","66.5",
"561.0","0.0016","6.9259e-004","65.8",
"562.0","0.0015","6.4845e-004","65.0",
"563.0","0.0015","6.5238e-004","65.0",
"564.0","0.0014","6.1348e-004","64.4",
"565.0","0.0013","5.8845e-004","63.9",
"566.0","0.0012","5.5365e-004","63.4",
"567.0","0.0013","5.6885e-004","63.6",
"568.0","0.0013","6.0194e-004","64.0",
"569.0","0.0013","5.6712e-004","63.4",
"570.0","0.0011","5.0400e-004","62.4",
"571.0","0.0011","4.7632e-004","61.9",
"572.0","0.0011","4.8127e-004","61.9",
"573.0","0.0011","4.8932e-004","62.0",
"574.0","0.0009","4.1065e-004","60.8",
"575.0","0.0010","4.3578e-004","61.1",
"576.0","0.0011","4.9901e-004","62.0",
"577.0","0.0011","5.0075e-004","61.9",
"578.0","0.0010","4.6130e-004","61.4",
"579.0","0.0010","4.3592e-004","61.0",
"580.0","0.0010","4.3893e-004","60.9",
"581.0","0.0009","4.0007e-004","60.4",
"582.0","0.0009","4.1645e-004","60.5",
"583.0","0.0010","4.5246e-004","61.0",
"584.0","0.0009","4.1707e-004","60.4",
"585.0","0.0010","4.3497e-004","60.6",
"586.0","0.0008","3.7686e-004","59.8",
"587.0","0.0008","3.6273e-004","59.6",
"588.0","0.0010","4.4779e-004","60.6",
"589.0","0.0010","4.3884e-004","60.4",
"590.0","0.0008","3.5922e-004","59.4",
"591.0","0.0007","3.2815e-004","58.9",
"592.0","0.0007","3.3288e-004","59.0",
"593.0","0.0008","3.3549e-004","59.0",
"594.0","0.0008","3.3882e-004","59.0",
"595.0","0.0012","5.4440e-004","61.3",
"596.0","0.0010","4.3699e-004","60.1",
"597.0","0.0007","3.0751e-004","58.5",
"598.0","0.0008","3.4576e-004","58.9",
"599.0","0.0007","2.9858e-004","58.4",
"600.0","0.0007","3.1804e-004","58.6",
"601.0","0.0007","3.0402e-004","58.4",
"602.0","0.0006","2.6781e-004","58.0",
"603.0","0.0006","2.7267e-004","58.0",
"604.0","0.0006","2.7482e-004","58.0",
"605.0","0.0006","2.7934e-004","58.0",
"606.0","0.0008","3.3966e-004","58.6",
"607.0","0.0009","3.8104e-004","59.0",
"608.0","0.0007","3.2617e-004","58.4",
"609.0","0.0007","2.9097e-004","58.0",
"610.0","0.0007","2.9517e-004","58.0",
"611.0","0.0005","2.4225e-004","57.4",
"612.0","0.0006","2.6455e-004","57.6",
"613.0","0.0006","2.4648e-004","57.4",
"614.0","0.0005","2.0368e-004","57.0",
"615.0","0.0007","3.2698e-004","58.1",
"616.0","0.0008","3.5681e-004","58.4",
"617.0","0.0004","1.8941e-004","56.8",
"618.0","0.0004","1.6356e-004","56.5",
"619.0","0.0008","3.4034e-004","58.1",
"620.0","0.0007","3.0842e-004","57.8",
"621.0","0.0005","2.1874e-004","57.0",
"622.0","0.0005","2.1894e-004","57.0",
"623.0","0.0008","3.6001e-004","58.2",
"624.0","0.0007","3.2262e-004","57.8",
"625.0","0.0005","2.2548e-004","56.9",
"626.0","0.0004","1.6225e-004","56.4",
"627.0","0.0004","1.8647e-004","56.6",
"628.0","0.0004","1.6714e-004","56.4",
"629.0","0.0004","1.8947e-004","56.5",
