"Wavelength(nm)","Spectrum","Spectrum(W/nm)","AD Value",
"380.0","0.0011","1.3915e-004","63.2",
"381.0","0.0005","5.7654e-005","60.3",
"382.0","0.0002","2.2456e-005","59.0",
"383.0","0.0003","3.1984e-005","59.6",
"384.0","0.0005","5.7439e-005","61.2",
"385.0","0.0005","5.8263e-005","61.4",
"386.0","0.0003","3.8453e-005","60.4",
"387.0","0.0002","2.9247e-005","60.0",
"388.0","0.0002","1.9559e-005","59.4",
"389.0","0.0002","2.7803e-005","60.2",
"390.0","0.0003","3.6822e-005","61.1",
"391.0","0.0003","4.1162e-005","61.6",
"392.0","0.0003","4.3506e-005","62.0",
"393.0","0.0005","6.0276e-005","63.8",
"394.0","0.0006","7.0715e-005","65.0",
"395.0","0.0009","1.1293e-004","69.7",
"396.0","0.0009","1.1961e-004","70.7",
"397.0","0.0009","1.2040e-004","71.4",
"398.0","0.0012","1.4634e-004","74.8",
"399.0","0.0013","1.6669e-004","77.8",
"400.0","0.0017","2.1043e-004","83.7",
"401.0","0.0020","2.5498e-004","90.0",
"402.0","0.0024","2.9991e-004","96.7",
"403.0","0.0029","3.6682e-004","106.4",
"404.0","0.0035","4.4928e-004","118.0",
"405.0","0.0045","5.6711e-004","135.3",
"406.0","0.0053","6.7877e-004","152.2",
"407.0","0.0064","8.1175e-004","172.6",
"408.0","0.0077","9.7823e-004","197.7",
"409.0","0.0092","1.1741e-003","228.5",
"410.0","0.0110","1.4006e-003","265.2",
"411.0","0.0130","1.6558e-003","308.1",
"412.0","0.0152","1.9279e-003","355.8",
"413.0","0.0173","2.2041e-003","405.8",
"414.0","0.0202","2.5697e-003","470.8",
"415.0","0.0231","2.9396e-003","540.5",
"416.0","0.0263","3.3437e-003","617.6",
"417.0","0.0299","3.8015e-003","707.4",
"418.0","0.0337","4.2806e-003","802.2",
"419.0","0.0378","4.8034e-003","904.4",
"420.0","0.0420","5.3393e-003","1008.2",
"421.0","0.0466","5.9280e-003","1121.5",
"422.0","0.0515","6.5445e-003","1239.7",
"423.0","0.0567","7.2057e-003","1365.1",
"424.0","0.0623","7.9184e-003","1491.1",
"425.0","0.0678","8.6230e-003","1615.6",
"426.0","0.0732","9.3084e-003","1735.3",
"427.0","0.0796","1.0120e-002","1871.3",
"428.0","0.0870","1.1065e-002","2010.8",
"429.0","0.0941","1.1959e-002","2152.0",
"430.0","0.1014","1.2896e-002","2317.9",
"431.0","0.1092","1.3882e-002","2490.6",
"432.0","0.1171","1.4886e-002","2667.5",
"433.0","0.1249","1.5882e-002","2843.3",
"434.0","0.1335","1.6977e-002","3026.3",
"435.0","0.1438","1.8279e-002","3212.3",
"436.0","0.1541","1.9590e-002","3399.3",
"437.0","0.1645","2.0915e-002","3603.7",
"438.0","0.1774","2.2556e-002","3840.8",
"439.0","0.1921","2.4427e-002","4104.2",
"440.0","0.2070","2.6316e-002","4396.4",
"441.0","0.2230","2.8356e-002","4719.2",
"442.0","0.2391","3.0405e-002","5064.7",
"443.0","0.2588","3.2901e-002","5453.7",
"444.0","0.2794","3.5520e-002","5887.3",
"445.0","0.3012","3.8294e-002","6380.4",
"446.0","0.3246","4.1275e-002","6925.3",
"447.0","0.3512","4.4652e-002","7541.1",
"448.0","0.3795","4.8244e-002","8217.7",
"449.0","0.4090","5.2000e-002","8950.7",
"450.0","0.4393","5.5852e-002","9751.5",
"451.0","0.4728","6.0114e-002","10660.6",
"452.0","0.5098","6.4816e-002","11677.8",
"453.0","0.5486","6.9748e-002","12801.5",
"454.0","0.5872","7.4655e-002","14051.2",
"455.0","0.6267","7.9680e-002","15442.5",
"456.0","0.6675","8.4860e-002","16930.7",
"457.0","0.7086","9.0092e-002","18498.5",
"458.0","0.7507","9.5445e-002","20110.4",
"459.0","0.7915","1.0063e-001","21715.8",
"460.0","0.8295","1.0546e-001","23340.5",
"461.0","0.8685","1.1042e-001","24901.1",
"462.0","0.9017","1.1465e-001","26331.7",
"463.0","0.9292","1.1814e-001","27540.1",
"464.0","0.9562","1.2157e-001","28450.5",
