WL(nm)	PL	PE(mW/nm)
380	0.0001	0.0502
381	0.0001	0.0433
382	0.0001	0.0358
383	0.0000	0.0288
384	0.0000	0.0276
385	0.0000	0.0179
386	0.0000	0.0132
387	0.0000	0.0225
388	0.0000	0.0084
389	0.0000	0.0196
390	0.0000	0.0117
391	0.0000	0.0119
392	0.0000	0.0083
393	0.0000	0.0187
394	0.0000	0.0134
395	0.0000	0.0101
396	0.0000	0.0075
397	0.0000	0.0070
398	0.0000	0.0071
399	0.0000	0.0067
400	0.0000	0.0072
401	0.0000	0.0053
402	0.0000	0.0038
403	0.0000	0.0053
404	0.0000	0.0064
405	0.0000	0.0070
406	0.0000	0.0057
407	0.0000	0.0051
408	0.0000	0.0074
409	0.0000	0.0035
410	0.0000	0.0048
411	0.0000	0.0045
412	0.0000	0.0065
413	0.0000	0.0043
414	0.0000	0.0057
415	0.0000	0.0062
416	0.0000	0.0050
417	0.0000	0.0053
418	0.0000	0.0026
419	0.0000	0.0042
420	0.0000	0.0030
421	0.0000	0.0050
422	0.0000	0.0037
423	0.0000	0.0043
424	0.0000	0.0022
425	0.0000	0.0048
426	0.0000	0.0013
427	0.0000	0.0032
428	0.0000	0.0051
429	0.0000	0.0048
430	0.0000	0.0022
431	0.0000	0.0031
432	0.0000	0.0028
433	0.0000	0.0027
434	0.0000	0.0038
435	0.0000	0.0031
436	0.0000	0.0052
437	0.0000	0.0028
438	0.0000	0.0039
439	0.0000	0.0054
440	0.0000	0.0026
441	0.0000	0.0030
442	0.0000	0.0040
443	0.0000	0.0052
444	0.0000	0.0054
445	0.0000	0.0037
446	0.0000	0.0038
447	0.0000	0.0033
448	0.0000	0.0033
449	0.0000	0.0036
450	0.0000	0.0047
451	0.0000	0.0031
452	0.0000	0.0031
453	0.0000	0.0037
454	0.0000	0.0040
455	0.0000	0.0037
456	0.0000	0.0047
457	0.0000	0.0036
458	0.0000	0.0040
459	0.0000	0.0033
460	0.0000	0.0036
461	0.0000	0.0043
462	0.0000	0.0030
463	0.0000	0.0040
464	0.0000	0.0036
465	0.0000	0.0022
466	0.0000	0.0047
467	0.0000	0.0030
468	0.0000	0.0040
469	0.0000	0.0040
470	0.0000	0.0009
471	0.0000	0.0000
472	0.0000	0.0000
473	0.0000	0.0000
474	0.0000	0.0001
475	0.0000	0.0006
476	0.0000	0.0000
477	0.0000	0.0003
478	0.0000	0.0000
479	0.0000	0.0000
