WL(nm)	PL	PE(mW/nm)
380	0.0036	0.9482
381	0.0032	0.8458
382	0.0027	0.7183
383	0.0028	0.7427
384	0.0023	0.6103
385	0.0020	0.5359
386	0.0019	0.5085
387	0.0018	0.4674
388	0.0016	0.4156
389	0.0015	0.3909
390	0.0014	0.3544
391	0.0013	0.3409
392	0.0011	0.2779
393	0.0011	0.2938
394	0.0010	0.2642
395	0.0009	0.2482
396	0.0009	0.2436
397	0.0009	0.2293
398	0.0009	0.2346
399	0.0008	0.1978
400	0.0008	0.2093
401	0.0007	0.1942
402	0.0007	0.1966
403	0.0007	0.1745
404	0.0006	0.1704
405	0.0006	0.1664
406	0.0006	0.1682
407	0.0006	0.1601
408	0.0006	0.1556
409	0.0006	0.1570
410	0.0006	0.1590
411	0.0005	0.1410
412	0.0006	0.1520
413	0.0005	0.1441
414	0.0006	0.1487
415	0.0006	0.1521
416	0.0006	0.1464
417	0.0005	0.1411
418	0.0005	0.1434
419	0.0005	0.1423
420	0.0006	0.1467
421	0.0005	0.1431
422	0.0006	0.1655
423	0.0006	0.1560
424	0.0006	0.1694
425	0.0007	0.1837
426	0.0007	0.1797
427	0.0008	0.2019
428	0.0008	0.2105
429	0.0008	0.2161
430	0.0009	0.2414
431	0.0010	0.2514
432	0.0011	0.2810
433	0.0011	0.2990
434	0.0012	0.3207
435	0.0013	0.3527
436	0.0015	0.3940
437	0.0016	0.4249
438	0.0018	0.4837
439	0.0019	0.5106
440	0.0022	0.5808
441	0.0023	0.6150
442	0.0026	0.6824
443	0.0029	0.7597
444	0.0033	0.8576
445	0.0036	0.9337
446	0.0040	1.0454
447	0.0044	1.1468
448	0.0048	1.2693
449	0.0054	1.4272
450	0.0060	1.5748
451	0.0066	1.7456
452	0.0074	1.9525
453	0.0082	2.1474
454	0.0090	2.3673
455	0.0102	2.6744
456	0.0112	2.9411
457	0.0125	3.2932
458	0.0139	3.6573
459	0.0154	4.0537
460	0.0169	4.4449
461	0.0191	5.0113
462	0.0210	5.5129
463	0.0235	6.1809
464	0.0260	6.8368
465	0.0288	7.5613
466	0.0316	8.3077
467	0.0355	9.3068
468	0.0387	10.1689
469	0.0436	11.4439
470	0.0483	12.6852
471	0.0541	14.1984
472	0.0590	15.4829
473	0.0652	17.1035
474	0.0708	18.5866
475	0.0781	20.4931
476	0.0854	22.4288
477	0.0939	24.6387
478	0.1036	27.2041
479	0.1117	29.3282
480	0.1236	32.4592
481	0.1344	35.2701
482	0.1466	38.4808
483	0.1594	41.8380
484	0.1723	45.2314
485	0.1867	49.0089
486	0.2029	53.2509
487	0.2202	57.7937
488	0.2378	62.4282
489	0.2550	66.9363
490	0.2774	72.8289
491	0.2984	78.3385
492	0.3220	84.5257
493	0.3480	91.3590
494	0.3746	98.3338
495	0.3994	104.8388
496	0.4298	112.8221
497	0.4571	120.0063
498	0.4946	129.8512
499	0.5206	136.6606
500	0.5563	146.0273
501	0.5946	156.0970
502	0.6249	164.0512
503	0.6609	173.5040
504	0.7014	184.1163
505	0.7323	192.2321
506	0.7722	202.7064
507	0.8040	211.0654
508	0.8330	218.6707
509	0.8672	227.6391
510	0.8919	234.1249
511	0.9295	244.0100
512	0.9442	247.8592
513	0.9557	250.8796
514	0.9740	255.6784
515	0.9905	260.0143
516	0.9984	262.0981
517	0.9917	260.3340
518	1.0000	262.5128
519	0.9916	260.3123
520	0.9730	255.4125
521	0.9702	254.6822
522	0.9526	250.0652
523	0.9312	244.4640
524	0.9202	241.5583
525	0.8982	235.7955
526	0.8777	230.3971
527	0.8502	223.1989
528	0.8230	216.0415
529	0.7985	209.6223
530	0.7697	202.0459
531	0.7346	192.8301
532	0.6983	183.3097
533	0.6855	179.9604
534	0.6550	171.9328
535	0.6251	164.1014
536	0.5974	156.8353
537	0.5670	148.8379
538	0.5429	142.5109
539	0.5185	136.1179
540	0.4924	129.2569
541	0.4705	123.5170
542	0.4459	117.0548
543	0.4225	110.8996
544	0.3990	104.7514
545	0.3798	99.6935
546	0.3592	94.3022
547	0.3413	89.5831
548	0.3231	84.8110
549	0.3037	79.7347
550	0.2881	75.6252
551	0.2690	70.6043
552	0.2552	66.9903
553	0.2391	62.7684
554	0.2255	59.2059
555	0.2127	55.8327
556	0.2009	52.7301
557	0.1894	49.7200
558	0.1791	47.0037
559	0.1660	43.5774
560	0.1526	40.0507
561	0.1418	37.2144
562	0.1355	35.5748
563	0.1268	33.2756
564	0.1201	31.5322
565	0.1131	29.6772
566	0.1064	27.9431
567	0.1010	26.5130
568	0.0940	24.6845
569	0.0880	23.1121
570	0.0822	21.5770
571	0.0774	20.3133
572	0.0726	19.0559
573	0.0681	17.8683
574	0.0640	16.7974
575	0.0603	15.8415
576	0.0565	14.8447
577	0.0531	13.9519
578	0.0500	13.1168
579	0.0471	12.3761
580	0.0439	11.5160
581	0.0413	10.8318
582	0.0388	10.1725
583	0.0364	9.5583
584	0.0341	8.9470
585	0.0320	8.4098
586	0.0302	7.9328
587	0.0291	7.6317
588	0.0266	6.9798
589	0.0250	6.5653
590	0.0235	6.1678
591	0.0223	5.8441
592	0.0211	5.5460
593	0.0198	5.1988
594	0.0187	4.9173
595	0.0176	4.6192
596	0.0165	4.3231
597	0.0157	4.1088
598	0.0147	3.8608
599	0.0140	3.6735
600	0.0132	3.4622
601	0.0126	3.2976
602	0.0117	3.0733
603	0.0111	2.9255
604	0.0106	2.7856
605	0.0100	2.6327
606	0.0095	2.4971
607	0.0090	2.3565
608	0.0085	2.2241
609	0.0082	2.1540
610	0.0077	2.0229
611	0.0072	1.8967
612	0.0070	1.8437
613	0.0068	1.7822
614	0.0064	1.6749
615	0.0061	1.5995
616	0.0059	1.5401
617	0.0055	1.4417
618	0.0053	1.3817
619	0.0050	1.3153
620	0.0047	1.2435
621	0.0047	1.2298
622	0.0045	1.1832
623	0.0042	1.0904
624	0.0041	1.0854
625	0.0039	1.0113
626	0.0038	0.9934
627	0.0038	0.9847
628	0.0035	0.9122
629	0.0036	0.9319
630	0.0032	0.8474
631	0.0032	0.8305
632	0.0030	0.7961
633	0.0030	0.7801
634	0.0028	0.7395
635	0.0026	0.6890
636	0.0027	0.6959
637	0.0025	0.6580
638	0.0024	0.6237
639	0.0024	0.6194
640	0.0024	0.6327
641	0.0022	0.5790
642	0.0021	0.5527
643	0.0020	0.5272
644	0.0021	0.5411
645	0.0020	0.5336
646	0.0019	0.4897
647	0.0018	0.4707
648	0.0018	0.4669
649	0.0018	0.4787
650	0.0017	0.4548
651	0.0017	0.4493
652	0.0016	0.4092
653	0.0016	0.4083
654	0.0015	0.3845
655	0.0014	0.3695
656	0.0014	0.3629
657	0.0013	0.3530
658	0.0014	0.3555
659	0.0013	0.3468
660	0.0011	0.2806
661	0.0011	0.2853
662	0.0010	0.2693
663	0.0010	0.2495
664	0.0010	0.2548
665	0.0008	0.2229
666	0.0009	0.2346
667	0.0009	0.2350
668	0.0009	0.2273
669	0.0009	0.2283
670	0.0008	0.2104
671	0.0008	0.2139
672	0.0007	0.1850
673	0.0008	0.2002
674	0.0007	0.1833
675	0.0007	0.1929
676	0.0008	0.1984
677	0.0007	0.1762
678	0.0006	0.1706
679	0.0006	0.1594
680	0.0006	0.1679
681	0.0006	0.1594
682	0.0006	0.1535
683	0.0005	0.1388
684	0.0006	0.1447
685	0.0006	0.1500
686	0.0006	0.1509
687	0.0006	0.1549
688	0.0005	0.1287
689	0.0005	0.1359
690	0.0005	0.1249
691	0.0005	0.1259
692	0.0005	0.1269
693	0.0005	0.1208
694	0.0005	0.1192
695	0.0004	0.1052
696	0.0004	0.1071
697	0.0004	0.1054
698	0.0004	0.1094
699	0.0004	0.0945
700	0.0004	0.1013
701	0.0004	0.1057
702	0.0004	0.0962
703	0.0003	0.0849
704	0.0003	0.0821
705	0.0003	0.0764
706	0.0003	0.0854
707	0.0003	0.0722
708	0.0003	0.0793
709	0.0003	0.0759
