WL(nm)	PL	PE(mW/nm)
380	0.0036	2.5021
381	0.0031	2.1608
382	0.0028	1.9688
383	0.0026	1.8252
384	0.0024	1.6521
385	0.0023	1.5826
386	0.0020	1.4130
387	0.0019	1.3388
388	0.0019	1.3199
389	0.0018	1.2198
390	0.0016	1.1424
391	0.0016	1.1014
392	0.0016	1.0754
393	0.0015	1.0181
394	0.0015	1.0243
395	0.0014	0.9392
396	0.0013	0.9217
397	0.0013	0.9024
398	0.0013	0.8883
399	0.0013	0.8990
400	0.0013	0.9234
401	0.0014	0.9773
402	0.0014	0.9826
403	0.0015	1.0229
404	0.0016	1.1317
405	0.0018	1.2211
406	0.0020	1.3891
407	0.0021	1.4883
408	0.0024	1.6935
409	0.0028	1.9576
410	0.0033	2.3099
411	0.0039	2.7242
412	0.0046	3.1925
413	0.0054	3.7340
414	0.0065	4.5168
415	0.0076	5.3006
416	0.0091	6.3416
417	0.0110	7.6605
418	0.0130	9.0298
419	0.0159	11.0329
420	0.0189	13.0780
421	0.0227	15.7436
422	0.0266	18.4689
423	0.0323	22.3899
424	0.0382	26.4927
425	0.0457	31.6937
426	0.0533	36.9518
427	0.0629	43.6233
428	0.0733	50.8366
429	0.0865	59.9939
430	0.1015	70.4127
431	0.1185	82.1348
432	0.1368	94.8563
433	0.1568	108.7578
434	0.1822	126.3066
435	0.2091	144.9817
436	0.2368	164.1785
437	0.2689	186.4222
438	0.3052	211.6533
439	0.3505	243.0414
440	0.3962	274.6991
441	0.4590	318.2982
442	0.5161	357.8284
443	0.5833	404.4278
444	0.6587	456.7474
445	0.7326	507.9835
446	0.8001	554.8015
447	0.8683	602.0888
448	0.9235	640.3478
449	0.9711	673.3830
450	0.9996	693.1379
451	1.0000	693.3874
452	0.9888	685.5986
453	0.9626	667.4396
454	0.8945	620.2407
455	0.8250	572.0736
456	0.7561	524.2445
457	0.6849	474.8871
458	0.6201	429.9425
459	0.5580	386.8829
460	0.5037	349.2568
461	0.4625	320.7089
462	0.4231	293.3606
463	0.3923	272.0072
464	0.3571	247.5970
465	0.3311	229.5509
466	0.3037	210.5610
467	0.2778	192.6441
468	0.2540	176.1540
469	0.2297	159.2801
470	0.2030	140.7792
471	0.1810	125.5179
472	0.1619	112.2766
473	0.1439	99.7851
474	0.1276	88.4957
475	0.1146	79.4488
476	0.1033	71.6304
477	0.0940	65.1716
478	0.0849	58.8902
479	0.0773	53.5970
480	0.0718	49.8106
481	0.0661	45.8281
482	0.0619	42.8951
483	0.0572	39.6662
484	0.0538	37.3311
485	0.0500	34.6455
486	0.0473	32.7972
487	0.0452	31.3505
488	0.0432	29.9404
489	0.0414	28.7027
490	0.0408	28.3006
491	0.0399	27.6662
492	0.0400	27.7071
493	0.0405	28.0723
494	0.0416	28.8367
495	0.0435	30.1318
496	0.0454	31.5052
497	0.0479	33.2255
498	0.0511	35.4616
499	0.0550	38.1233
500	0.0594	41.1571
501	0.0637	44.1927
502	0.0698	48.4192
503	0.0756	52.4163
504	0.0835	57.8994
505	0.0915	63.4242
506	0.0993	68.8560
507	0.1090	75.6049
508	0.1186	82.2669
509	0.1304	90.4498
510	0.1430	99.1319
511	0.1547	107.2438
512	0.1666	115.5197
513	0.1812	125.6495
514	0.1944	134.8245
515	0.2058	142.6916
516	0.2179	151.0682
517	0.2303	159.7183
518	0.2410	167.1386
519	0.2515	174.4208
520	0.2585	179.2599
521	0.2637	182.8719
522	0.2677	185.5905
523	0.2681	185.8890
524	0.2723	188.8133
525	0.2691	186.5689
526	0.2656	184.1534
527	0.2581	178.9782
528	0.2527	175.2158
529	0.2448	169.7070
530	0.2341	162.3432
531	0.2256	156.4528
532	0.2162	149.8913
533	0.2059	142.7466
534	0.1962	136.0748
535	0.1859	128.8945
536	0.1758	121.8668
537	0.1691	117.2617
538	0.1611	111.7246
539	0.1516	105.1211
540	0.1434	99.4112
541	0.1369	94.9549
542	0.1286	89.1974
543	0.1219	84.5117
544	0.1154	80.0159
545	0.1103	76.5000
546	0.1035	71.7606
547	0.0980	67.9764
548	0.0923	63.9807
549	0.0865	59.9442
550	0.0817	56.6542
551	0.0763	52.8761
552	0.0715	49.6091
553	0.0674	46.7426
554	0.0625	43.3404
555	0.0584	40.5003
556	0.0548	38.0119
557	0.0512	35.5037
558	0.0484	33.5579
559	0.0455	31.5694
560	0.0407	28.1950
561	0.0378	26.2434
562	0.0355	24.6371
563	0.0331	22.9848
564	0.0314	21.7710
565	0.0292	20.2501
566	0.0276	19.1199
567	0.0258	17.8931
568	0.0242	16.7910
569	0.0225	15.6171
570	0.0212	14.7246
571	0.0200	13.8491
572	0.0187	12.9498
573	0.0175	12.1106
574	0.0163	11.3302
575	0.0153	10.6342
576	0.0143	9.9262
577	0.0134	9.3056
578	0.0126	8.7420
579	0.0117	8.1139
580	0.0109	7.5486
581	0.0102	7.0794
582	0.0096	6.6469
583	0.0090	6.2450
584	0.0085	5.8851
585	0.0079	5.4704
586	0.0075	5.1980
587	0.0069	4.7741
588	0.0065	4.5321
589	0.0062	4.3306
590	0.0058	4.0324
591	0.0055	3.7902
592	0.0051	3.5631
593	0.0048	3.3412
594	0.0045	3.1408
595	0.0043	2.9857
596	0.0040	2.8040
597	0.0039	2.6894
598	0.0036	2.5082
599	0.0034	2.3865
600	0.0032	2.2491
601	0.0031	2.1256
602	0.0029	2.0305
603	0.0027	1.8882
604	0.0026	1.7929
605	0.0025	1.7071
606	0.0024	1.6527
607	0.0023	1.5749
608	0.0021	1.4570
609	0.0020	1.4032
610	0.0020	1.3651
611	0.0019	1.2961
612	0.0017	1.2073
613	0.0017	1.1895
614	0.0016	1.0891
615	0.0016	1.0755
616	0.0015	1.0210
617	0.0015	1.0079
618	0.0014	0.9371
619	0.0013	0.9262
620	0.0013	0.8869
621	0.0012	0.8419
622	0.0012	0.8273
623	0.0011	0.7792
624	0.0011	0.7868
625	0.0011	0.7440
626	0.0010	0.7277
627	0.0010	0.6741
628	0.0010	0.6812
629	0.0009	0.6261
630	0.0009	0.6400
631	0.0009	0.5972
632	0.0009	0.5921
633	0.0009	0.5896
634	0.0008	0.5478
635	0.0008	0.5638
636	0.0008	0.5265
637	0.0007	0.5065
638	0.0007	0.5164
639	0.0007	0.4877
640	0.0007	0.4689
641	0.0007	0.4647
642	0.0006	0.4367
643	0.0006	0.4220
644	0.0006	0.4176
645	0.0006	0.4040
646	0.0006	0.4038
647	0.0006	0.3842
648	0.0005	0.3719
649	0.0005	0.3791
650	0.0005	0.3682
651	0.0005	0.3636
652	0.0005	0.3414
653	0.0005	0.3330
654	0.0004	0.3070
655	0.0005	0.3353
656	0.0005	0.3170
657	0.0005	0.3148
658	0.0005	0.3121
659	0.0004	0.2724
660	0.0004	0.2606
661	0.0003	0.2402
662	0.0004	0.2443
663	0.0003	0.2262
664	0.0003	0.2380
665	0.0003	0.2104
666	0.0003	0.2163
667	0.0003	0.2218
668	0.0003	0.2181
669	0.0003	0.1877
670	0.0003	0.2232
671	0.0003	0.2034
672	0.0003	0.1870
673	0.0003	0.1944
674	0.0003	0.1894
675	0.0003	0.1736
676	0.0003	0.1767
677	0.0003	0.1819
678	0.0003	0.1818
679	0.0002	0.1642
680	0.0002	0.1712
681	0.0002	0.1584
682	0.0002	0.1626
683	0.0002	0.1487
684	0.0002	0.1598
685	0.0002	0.1589
686	0.0002	0.1592
687	0.0002	0.1504
688	0.0002	0.1302
689	0.0002	0.1396
690	0.0002	0.1398
691	0.0002	0.1392
692	0.0002	0.1419
693	0.0002	0.1345
694	0.0002	0.1276
695	0.0002	0.1329
696	0.0002	0.1290
697	0.0002	0.1372
698	0.0002	0.1291
699	0.0002	0.1354
700	0.0002	0.1073
701	0.0001	0.1040
702	0.0002	0.1185
703	0.0002	0.1075
704	0.0001	0.0921
705	0.0002	0.1168
706	0.0002	0.1161
707	0.0002	0.1068
708	0.0001	0.0931
709	0.0001	0.1001
710	0.0001	0.0917
711	0.0001	0.0816
712	0.0001	0.0888
713	0.0001	0.0965
714	0.0001	0.0862
715	0.0001	0.0936
716	0.0001	0.0803
717	0.0001	0.0812
718	0.0001	0.0795
719	0.0001	0.0817
720	0.0001	0.0892
721	0.0001	0.0743
722	0.0001	0.0793
723	0.0001	0.0594
724	0.0001	0.0784
725	0.0001	0.0757
726	0.0001	0.0777
727	0.0001	0.0713
728	0.0001	0.0731
729	0.0001	0.0698
730	0.0001	0.0755
731	0.0001	0.0607
732	0.0001	0.0778
733	0.0001	0.0500
734	0.0001	0.0683
735	0.0001	0.0477
736	0.0001	0.0529
737	0.0001	0.0674
738	0.0001	0.0680
739	0.0001	0.0561
740	0.0001	0.0523
741	0.0001	0.0725
742	0.0001	0.0633
743	0.0001	0.0398
744	0.0001	0.0611
745	0.0001	0.0361
746	0.0001	0.0733
747	0.0001	0.0532
748	0.0001	0.0438
749	0.0001	0.0495
750	0.0001	0.0451
751	0.0000	0.0343
752	0.0001	0.0350
753	0.0001	0.0482
754	0.0001	0.0484
755	0.0001	0.0676
756	0.0001	0.0558
757	0.0001	0.0569
758	0.0001	0.0515
