WL(nm)	PL	PE(mW/nm)
380	0.0378	0.9773
381	0.0401	1.0378
382	0.0391	1.0104
383	0.0405	1.0487
384	0.0421	1.0894
385	0.0447	1.1573
386	0.0436	1.1281
387	0.0449	1.1608
388	0.0431	1.1152
389	0.0476	1.2321
390	0.0473	1.2243
391	0.0481	1.2450
392	0.0505	1.3074
393	0.0488	1.2617
394	0.0504	1.3037
395	0.0530	1.3706
396	0.0523	1.3536
397	0.0540	1.3966
398	0.0552	1.4288
399	0.0553	1.4310
400	0.0574	1.4858
401	0.0584	1.5111
402	0.0589	1.5225
403	0.0605	1.5647
404	0.0616	1.5948
405	0.0633	1.6376
406	0.0649	1.6782
407	0.0652	1.6854
408	0.0672	1.7388
409	0.0676	1.7483
410	0.0696	1.7994
411	0.0699	1.8092
412	0.0724	1.8739
413	0.0727	1.8804
414	0.0737	1.9075
415	0.0750	1.9411
416	0.0761	1.9685
417	0.0788	2.0378
418	0.0797	2.0624
419	0.0801	2.0710
420	0.0816	2.1102
421	0.0829	2.1435
422	0.0846	2.1884
423	0.0855	2.2119
424	0.0882	2.2814
425	0.0881	2.2786
426	0.0894	2.3130
427	0.0914	2.3640
428	0.0930	2.4057
429	0.0932	2.4108
430	0.0959	2.4795
431	0.0977	2.5286
432	0.0990	2.5606
433	0.0997	2.5786
434	0.1030	2.6654
435	0.1041	2.6919
436	0.1050	2.7154
437	0.1054	2.7253
438	0.1090	2.8205
439	0.1093	2.8280
440	0.1114	2.8820
441	0.1137	2.9412
442	0.1151	2.9780
443	0.1154	2.9856
444	0.1187	3.0707
445	0.1206	3.1186
446	0.1216	3.1449
447	0.1245	3.2216
448	0.1251	3.2352
449	0.1261	3.2613
450	0.1288	3.3314
451	0.1310	3.3878
452	0.1318	3.4085
453	0.1334	3.4498
454	0.1351	3.4957
455	0.1377	3.5613
456	0.1400	3.6219
457	0.1390	3.5965
458	0.1429	3.6972
459	0.1464	3.7865
460	0.1469	3.8011
461	0.1478	3.8245
462	0.1505	3.8944
463	0.1534	3.9692
464	0.1532	3.9634
465	0.1569	4.0593
466	0.1588	4.1091
467	0.1588	4.1083
468	0.1612	4.1695
469	0.1656	4.2830
470	0.1664	4.3054
471	0.1694	4.3830
472	0.1711	4.4260
473	0.1740	4.5009
474	0.1749	4.5244
475	0.1783	4.6123
476	0.1791	4.6337
477	0.1819	4.7044
478	0.1833	4.7406
479	0.1853	4.7939
480	0.1884	4.8733
481	0.1885	4.8766
482	0.1918	4.9620
483	0.1952	5.0507
484	0.1950	5.0431
485	0.1989	5.1449
486	0.2012	5.2044
487	0.2055	5.3155
488	0.2066	5.3456
489	0.2083	5.3883
490	0.2114	5.4676
491	0.2126	5.5004
492	0.2138	5.5316
493	0.2179	5.6363
494	0.2190	5.6652
495	0.2203	5.6991
496	0.2232	5.7739
497	0.2265	5.8593
498	0.2263	5.8541
499	0.2325	6.0148
500	0.2340	6.0544
501	0.2325	6.0144
502	0.2366	6.1209
503	0.2406	6.2249
504	0.2432	6.2922
505	0.2460	6.3628
506	0.2471	6.3914
507	0.2507	6.4847
508	0.2531	6.5470
509	0.2556	6.6111
510	0.2565	6.6341
511	0.2602	6.7315
512	0.2591	6.7018
513	0.2642	6.8349
514	0.2670	6.9065
515	0.2697	6.9763
516	0.2697	6.9775
517	0.2744	7.0985
518	0.2775	7.1796
519	0.2837	7.3384
520	0.2831	7.3244
521	0.2828	7.3162
522	0.2904	7.5114
523	0.2879	7.4480
524	0.2928	7.5749
525	0.2948	7.6253
526	0.2977	7.6997
527	0.2980	7.7084
528	0.3037	7.8567
529	0.3038	7.8588
530	0.3062	7.9211
531	0.3106	8.0354
532	0.3138	8.1186
533	0.3181	8.2298
534	0.3187	8.2447
535	0.3207	8.2960
536	0.3230	8.3557
537	0.3254	8.4170
538	0.3278	8.4804
539	0.3329	8.6118
540	0.3358	8.6862
541	0.3392	8.7747
542	0.3366	8.7077
543	0.3443	8.9068
544	0.3437	8.8919
545	0.3501	9.0573
546	0.3498	9.0498
547	0.3545	9.1701
548	0.3569	9.2316
549	0.3618	9.3595
550	0.3611	9.3402
551	0.3647	9.4346
552	0.3673	9.5011
553	0.3690	9.5461
554	0.3747	9.6938
555	0.3781	9.7811
556	0.3782	9.7836
557	0.3807	9.8490
558	0.3826	9.8979
559	0.3908	10.1099
560	0.3868	10.0061
561	0.3938	10.1868
562	0.3933	10.1750
563	0.3961	10.2475
564	0.4008	10.3684
565	0.4032	10.4294
566	0.4095	10.5934
567	0.4095	10.5936
568	0.4128	10.6788
569	0.4177	10.8048
570	0.4162	10.7669
571	0.4208	10.8844
572	0.4226	10.9323
573	0.4230	10.9414
574	0.4250	10.9938
575	0.4330	11.2012
576	0.4350	11.2537
577	0.4368	11.2986
578	0.4406	11.3988
579	0.4425	11.4474
580	0.4465	11.5512
581	0.4517	11.6851
582	0.4506	11.6566
583	0.4559	11.7931
584	0.4604	11.9092
585	0.4566	11.8123
586	0.4617	11.9428
587	0.4670	12.0801
588	0.4664	12.0653
