WL(nm)	PL	PE(mW/nm)
380	0.0000	0.0112
381	0.0000	0.0179
382	0.0000	0.0244
383	0.0000	0.0026
384	0.0000	0.0094
385	0.0000	0.0082
386	0.0000	0.0115
387	0.0000	0.0000
388	0.0000	0.0032
389	0.0000	0.0048
390	0.0000	0.0045
391	0.0000	0.0024
392	0.0000	0.0022
393	0.0000	0.0056
394	0.0000	0.0039
395	0.0000	0.0060
396	0.0000	0.0034
397	0.0000	0.0008
398	0.0000	0.0000
399	0.0000	0.0075
400	0.0000	0.0045
401	0.0000	0.0057
402	0.0000	0.0022
403	0.0000	0.0056
404	0.0000	0.0000
405	0.0000	0.0029
406	0.0000	0.0027
407	0.0000	0.0003
408	0.0000	0.0015
409	0.0000	0.0023
410	0.0000	0.0046
411	0.0000	0.0000
412	0.0000	0.0016
413	0.0000	0.0027
414	0.0000	0.0017
415	0.0000	0.0034
416	0.0000	0.0015
417	0.0000	0.0004
418	0.0000	0.0034
419	0.0000	0.0028
420	0.0000	0.0018
421	0.0000	0.0025
422	0.0000	0.0028
423	0.0000	0.0015
424	0.0000	0.0018
425	0.0000	0.0016
426	0.0000	0.0048
427	0.0000	0.0016
428	0.0000	0.0010
429	0.0000	0.0022
430	0.0000	0.0024
431	0.0000	0.0025
432	0.0000	0.0027
433	0.0000	0.0010
434	0.0000	0.0016
435	0.0000	0.0024
436	0.0000	0.0005
437	0.0000	0.0016
438	0.0000	0.0013
439	0.0000	0.0027
440	0.0000	0.0011
441	0.0000	0.0025
442	0.0000	0.0025
443	0.0000	0.0011
444	0.0000	0.0020
445	0.0000	0.0023
446	0.0000	0.0005
447	0.0000	0.0020
448	0.0000	0.0012
449	0.0000	0.0028
450	0.0000	0.0034
451	0.0000	0.0015
452	0.0000	0.0015
453	0.0000	0.0017
454	0.0000	0.0035
455	0.0000	0.0024
456	0.0000	0.0018
457	0.0000	0.0023
458	0.0000	0.0012
459	0.0000	0.0015
460	0.0000	0.0012
461	0.0000	0.0021
462	0.0000	0.0018
463	0.0000	0.0036
464	0.0000	0.0025
465	0.0000	0.0027
466	0.0000	0.0021
467	0.0000	0.0011
468	0.0000	0.0023
469	0.0000	0.0015
470	0.0000	0.0089
471	0.0000	0.0088
472	0.0000	0.0115
473	0.0000	0.0081
474	0.0000	0.0099
475	0.0000	0.0096
476	0.0000	0.0091
