WL(nm)	PL	PE(mW/nm)
380	0.0000	0.0131
381	0.0000	0.0051
382	0.0000	0.0091
383	0.0000	0.0000
384	0.0000	0.0012
385	0.0000	0.0084
386	0.0000	0.0000
387	0.0000	0.0000
388	0.0000	0.0000
389	0.0000	0.0000
390	0.0000	0.0053
391	0.0000	0.0025
392	0.0000	0.0018
393	0.0000	0.0005
394	0.0000	0.0044
395	0.0000	0.0000
396	0.0000	0.0013
397	0.0000	0.0000
398	0.0000	0.0000
399	0.0000	0.0057
400	0.0000	0.0011
401	0.0000	0.0000
402	0.0000	0.0027
403	0.0000	0.0025
404	0.0000	0.0024
405	0.0000	0.0018
406	0.0000	0.0032
407	0.0000	0.0000
408	0.0000	0.0022
409	0.0000	0.0005
410	0.0000	0.0000
411	0.0000	0.0005
412	0.0000	0.0002
413	0.0000	0.0002
414	0.0000	0.0034
415	0.0000	0.0016
416	0.0000	0.0002
417	0.0000	0.0004
418	0.0000	0.0000
419	0.0000	0.0008
420	0.0000	0.0000
421	0.0000	0.0006
422	0.0000	0.0010
423	0.0000	0.0002
424	0.0000	0.0000
425	0.0000	0.0002
426	0.0000	0.0000
427	0.0000	0.0009
428	0.0000	0.0004
429	0.0000	0.0007
430	0.0000	0.0012
431	0.0000	0.0000
432	0.0000	0.0019
433	0.0000	0.0000
434	0.0000	0.0021
435	0.0000	0.0008
436	0.0000	0.0010
437	0.0000	0.0000
438	0.0000	0.0005
439	0.0000	0.0000
440	0.0000	0.0000
441	0.0000	0.0005
442	0.0000	0.0007
443	0.0000	0.0010
444	0.0000	0.0008
445	0.0000	0.0007
446	0.0000	0.0000
447	0.0000	0.0011
448	0.0000	0.0011
449	0.0000	0.0005
450	0.0000	0.0016
451	0.0000	0.0000
452	0.0000	0.0011
453	0.0000	0.0005
454	0.0000	0.0010
455	0.0000	0.0005
456	0.0000	0.0013
457	0.0000	0.0011
458	0.0000	0.0009
459	0.0000	0.0011
460	0.0000	0.0011
461	0.0000	0.0003
462	0.0000	0.0014
463	0.0000	0.0009
464	0.0000	0.0013
465	0.0000	0.0003
466	0.0000	0.0005
467	0.0000	0.0008
468	0.0000	0.0009
469	0.0000	0.0000
470	0.0000	0.0051
471	0.0000	0.0053
472	0.0000	0.0041
473	0.0000	0.0034
474	0.0000	0.0077
475	0.0000	0.0052
476	0.0000	0.0068
477	0.0000	0.0052
478	0.0000	0.0059
479	0.0000	0.0042
480	0.0000	0.0058
481	0.0000	0.0047
482	0.0000	0.0049
483	0.0000	0.0071
484	0.0000	0.0047
485	0.0000	0.0049
486	0.0000	0.0049
487	0.0000	0.0052
488	0.0000	0.0055
489	0.0000	0.0057
490	0.0000	0.0075
491	0.0000	0.0058
492	0.0000	0.0059
493	0.0000	0.0064
494	0.0000	0.0056
495	0.0000	0.0070
496	0.0000	0.0087
497	0.0000	0.0048
498	0.0000	0.0051
499	0.0000	0.0072
500	0.0000	0.0061
501	0.0000	0.0062
502	0.0000	0.0059
503	0.0000	0.0055
504	0.0000	0.0061
505	0.0000	0.0059
506	0.0000	0.0066
507	0.0000	0.0067
508	0.0000	0.0061
509	0.0000	0.0084
510	0.0000	0.0098
511	0.0000	0.0052
512	0.0000	0.0077
513	0.0000	0.0075
514	0.0000	0.0085
515	0.0000	0.0097
516	0.0000	0.0097
517	0.0000	0.0117
518	0.0000	0.0112
519	0.0000	0.0079
