"Wavelength(nm)","Spectrum","Spectrum(W/nm)","AD Value",
"380.0","0.0005","1.1209e-004","61.4",
"381.0","0.0004","7.9154e-005","60.4",
"382.0","0.0003","6.2113e-005","60.0",
"383.0","0.0003","6.6603e-005","60.6",
"384.0","0.0003","5.8559e-005","60.4",
"385.0","0.0002","4.7785e-005","60.0",
"386.0","0.0002","5.2187e-005","60.6",
"387.0","0.0003","5.3859e-005","60.9",
"388.0","0.0002","5.0676e-005","61.0",
"389.0","0.0002","4.8173e-005","61.0",
"390.0","0.0002","3.8811e-005","60.4",
"391.0","0.0002","3.2029e-005","60.0",
"392.0","0.0001","3.0330e-005","60.0",
"393.0","0.0001","2.9259e-005","60.0",
"394.0","0.0002","3.3535e-005","60.6",
"395.0","0.0002","3.6276e-005","61.0",
"396.0","0.0002","3.5079e-005","61.0",
"397.0","0.0002","3.3687e-005","61.0",
"398.0","0.0002","3.7087e-005","61.6",
"399.0","0.0002","3.9226e-005","62.0",
"400.0","0.0002","4.2736e-005","62.6",
"401.0","0.0002","4.4831e-005","63.0",
"402.0","0.0002","4.3541e-005","63.0",
"403.0","0.0002","4.2509e-005","63.0",
"404.0","0.0002","5.0058e-005","64.2",
"405.0","0.0003","5.4964e-005","65.0",
"406.0","0.0003","5.7871e-005","65.6",
"407.0","0.0003","6.7197e-005","67.1",
"408.0","0.0004","7.5839e-005","68.6",
"409.0","0.0004","8.8714e-005","70.8",
"410.0","0.0005","1.0576e-004","73.7",
"411.0","0.0006","1.2202e-004","76.7",
"412.0","0.0007","1.4124e-004","80.3",
"413.0","0.0008","1.6889e-004","85.5",
"414.0","0.0010","2.0420e-004","92.1",
"415.0","0.0011","2.3954e-004","99.1",
"416.0","0.0014","2.9038e-004","109.0",
"417.0","0.0017","3.5339e-004","121.6",
"418.0","0.0020","4.2959e-004","136.9",
"419.0","0.0024","5.1719e-004","154.5",
"420.0","0.0029","6.2217e-004","175.4",
"421.0","0.0036","7.5538e-004","201.9",
"422.0","0.0043","9.0296e-004","231.4",
"423.0","0.0051","1.0744e-003","265.4",
"424.0","0.0061","1.2964e-003","307.9",
"425.0","0.0073","1.5519e-003","356.8",
"426.0","0.0087","1.8352e-003","410.6",
"427.0","0.0103","2.1804e-003","474.8",
"428.0","0.0124","2.6204e-003","551.3",
"429.0","0.0147","3.1183e-003","640.9",
"430.0","0.0174","3.6772e-003","746.2",
"431.0","0.0204","4.3257e-003","867.6",
"432.0","0.0239","5.0630e-003","1006.1",
"433.0","0.0280","5.9266e-003","1168.5",
"434.0","0.0328","6.9454e-003","1355.5",
"435.0","0.0383","8.1246e-003","1555.8",
"436.0","0.0448","9.5023e-003","1790.0",
"437.0","0.0522","1.1054e-002","2060.8",
"438.0","0.0606","1.2846e-002","2360.4",
"439.0","0.0709","1.5022e-002","2717.4",
"440.0","0.0821","1.7406e-002","3125.6",
"441.0","0.0950","2.0122e-002","3594.0",
"442.0","0.1091","2.3118e-002","4128.4",
"443.0","0.1255","2.6595e-002","4720.7",
"444.0","0.1434","3.0386e-002","5390.4",
"445.0","0.1625","3.4440e-002","6138.1",
"446.0","0.1845","3.9090e-002","7013.1",
"447.0","0.2090","4.4286e-002","7994.3",
"448.0","0.2352","4.9831e-002","9071.4",
"449.0","0.2629","5.5712e-002","10246.9",
"450.0","0.2926","6.1997e-002","11565.8",
"451.0","0.3254","6.8953e-002","13064.2",
"452.0","0.3615","7.6605e-002","14745.4",
"453.0","0.3991","8.4583e-002","16585.4",
"454.0","0.4369","9.2581e-002","18617.6",
"455.0","0.4762","1.0091e-001","20897.0",
"456.0","0.5178","1.0972e-001","23391.2",
"457.0","0.5593","1.1851e-001","26001.0",
"458.0","0.6040","1.2800e-001","28819.5",
"459.0","0.6500","1.3773e-001","31762.1",
"460.0","0.6928","1.4681e-001","34722.2",
"461.0","0.7385","1.5650e-001","37714.4",
"462.0","0.7815","1.6561e-001","40649.7",
"463.0","0.8216","1.7411e-001","43373.1",
"464.0","0.8639","1.8308e-001","45784.2",
"465.0","0.8986","1.9041e-001","47756.9",
"466.0","0.9315","1.9740e-001","49163.3",
"467.0","0.9626","2.0399e-001","50066.9",
"468.0","0.9778","2.0721e-001","50365.4",
"469.0","0.9909","2.0999e-001","49910.8",
"470.0","1.0000","2.1191e-001","48427.7",
"471.0","0.9978","2.1144e-001","49328.4",
"472.0","0.9884","2.0945e-001","49923.5",
"473.0","0.9691","2.0535e-001","48554.5",
"474.0","0.9454","2.0035e-001","46740.2",
"475.0","0.9160","1.9410e-001","44526.1",
"476.0","0.8780","1.8606e-001","41988.4",
"477.0","0.8365","1.7726e-001","39300.8",
"478.0","0.7919","1.6780e-001","36662.6",
"479.0","0.7464","1.5817e-001","34138.3",
"480.0","0.7004","1.4841e-001","31693.7",
"481.0","0.6531","1.3840e-001","29287.0",
"482.0","0.6060","1.2841e-001","26872.5",
"483.0","0.5609","1.1885e-001","24431.7",
"484.0","0.5171","1.0958e-001","22014.3",
"485.0","0.4762","1.0091e-001","19753.3",
"486.0","0.4366","9.2512e-002","17748.3",
"487.0","0.3990","8.4562e-002","16032.8",
"488.0","0.3639","7.7124e-002","14596.1",
"489.0","0.3332","7.0606e-002","13374.5",
"490.0","0.3054","6.4719e-002","12340.9",
"491.0","0.2805","5.9443e-002","11407.1",
"492.0","0.2581","5.4704e-002","10507.9",
"493.0","0.2364","5.0096e-002","9641.4",
"494.0","0.2170","4.5975e-002","8783.7",
"495.0","0.1987","4.2102e-002","7979.3",
"496.0","0.1815","3.8462e-002","7242.2",
"497.0","0.1653","3.5036e-002","6546.7",
"498.0","0.1506","3.1909e-002","5919.3",
"499.0","0.1375","2.9130e-002","5369.5",
"500.0","0.1247","2.6432e-002","4856.8",
"501.0","0.1131","2.3958e-002","4372.2",
"502.0","0.1030","2.1823e-002","3935.6",
"503.0","0.0936","1.9838e-002","3537.9",
"504.0","0.0848","1.7969e-002","3175.4",
"505.0","0.0771","1.6338e-002","2858.8",
"506.0","0.0702","1.4867e-002","2582.5",
"507.0","0.0636","1.3484e-002","2334.6",
"508.0","0.0577","1.2219e-002","2119.1",
"509.0","0.0527","1.1167e-002","1932.5",
"510.0","0.0481","1.0197e-002","1759.1",
"511.0","0.0438","9.2847e-003","1601.2",
"512.0","0.0402","8.5237e-003","1461.8",
"513.0","0.0366","7.7560e-003","1328.6",
"514.0","0.0334","7.0766e-003","1210.3",
"515.0","0.0306","6.4903e-003","1107.1",
"516.0","0.0281","5.9456e-003","1013.8",
"517.0","0.0256","5.4265e-003","924.4",
