WL(nm)	PL	PE(mW/nm)
380	0.0033	2.1210
381	0.0029	1.8855
382	0.0026	1.6972
383	0.0024	1.5229
384	0.0021	1.3639
385	0.0020	1.2834
386	0.0019	1.2152
387	0.0018	1.1755
388	0.0017	1.1216
389	0.0016	1.0065
390	0.0015	0.9800
391	0.0014	0.9270
392	0.0014	0.8979
393	0.0013	0.8545
394	0.0013	0.8559
395	0.0013	0.8414
396	0.0012	0.7914
397	0.0012	0.7495
398	0.0012	0.7985
399	0.0012	0.7792
400	0.0012	0.7845
401	0.0013	0.8432
402	0.0013	0.8653
403	0.0014	0.9014
404	0.0016	1.0257
405	0.0017	1.0784
406	0.0019	1.2127
407	0.0021	1.3633
408	0.0024	1.5636
409	0.0028	1.8078
410	0.0033	2.1292
411	0.0039	2.5201
412	0.0047	3.0323
413	0.0055	3.5702
414	0.0065	4.2242
415	0.0078	5.0124
416	0.0093	5.9967
417	0.0112	7.2199
418	0.0131	8.4746
419	0.0162	10.4502
420	0.0191	12.3805
421	0.0230	14.8475
422	0.0269	17.4139
423	0.0327	21.1522
424	0.0388	25.0744
425	0.0462	29.8919
426	0.0538	34.7711
427	0.0633	40.9280
428	0.0738	47.7103
429	0.0873	56.4393
430	0.1023	66.1263
431	0.1195	77.2587
432	0.1375	88.8976
433	0.1575	101.8466
434	0.1826	118.0631
435	0.2092	135.2774
436	0.2369	153.1916
437	0.2690	173.9536
438	0.3047	197.0207
439	0.3497	226.1157
440	0.3944	254.9960
441	0.4560	294.8331
442	0.5118	330.9240
443	0.5790	374.3679
444	0.6532	422.3690
445	0.7255	469.1035
446	0.7931	512.8286
447	0.8611	556.7676
448	0.9179	593.4985
449	0.9669	625.2343
450	0.9975	644.9779
451	1.0000	646.6122
452	0.9915	641.1176
453	0.9686	626.3407
454	0.9024	583.4941
455	0.8347	539.7543
456	0.7672	496.0742
457	0.6959	449.9911
458	0.6321	408.7119
459	0.5677	367.0859
460	0.5136	332.1102
461	0.4706	304.3198
462	0.4297	277.8362
463	0.3992	258.1048
464	0.3629	234.6705
465	0.3364	217.5437
466	0.3085	199.4736
467	0.2819	182.2910
468	0.2583	167.0297
469	0.2334	150.9404
470	0.2062	133.3589
471	0.1837	118.7990
472	0.1645	106.3373
473	0.1453	93.9412
474	0.1287	83.1971
475	0.1146	74.0783
