WL(nm)	PL	PE(mW/nm)
380	0.0057	2.0107
381	0.0052	1.8307
382	0.0045	1.5900
383	0.0041	1.4455
384	0.0037	1.3037
385	0.0034	1.1962
386	0.0027	0.9659
387	0.0027	0.9566
388	0.0026	0.8971
389	0.0022	0.7748
390	0.0021	0.7489
391	0.0018	0.6472
392	0.0018	0.6308
393	0.0017	0.5851
394	0.0015	0.5135
395	0.0015	0.5408
396	0.0014	0.4975
397	0.0013	0.4717
398	0.0013	0.4584
399	0.0012	0.4183
400	0.0012	0.4248
401	0.0011	0.3926
402	0.0011	0.3892
403	0.0011	0.4037
404	0.0011	0.3709
405	0.0010	0.3623
406	0.0010	0.3626
407	0.0010	0.3669
408	0.0010	0.3649
409	0.0010	0.3621
410	0.0011	0.3826
411	0.0011	0.3742
412	0.0011	0.3901
413	0.0012	0.4317
414	0.0013	0.4549
415	0.0015	0.5105
416	0.0015	0.5349
417	0.0017	0.6035
418	0.0020	0.6899
419	0.0022	0.7797
420	0.0026	0.8966
421	0.0029	1.0362
422	0.0035	1.2148
423	0.0041	1.4428
424	0.0047	1.6647
425	0.0056	1.9796
426	0.0067	2.3370
427	0.0079	2.7698
428	0.0093	3.2780
429	0.0111	3.8824
430	0.0134	4.7173
431	0.0159	5.5872
432	0.0189	6.6325
433	0.0223	7.8522
434	0.0262	9.1902
435	0.0311	10.9378
436	0.0367	12.9112
437	0.0436	15.3248
438	0.0511	17.9432
439	0.0601	21.1325
440	0.0707	24.8442
441	0.0827	29.0476
442	0.0967	33.9834
443	0.1122	39.4130
444	0.1288	45.2487
445	0.1480	51.9843
446	0.1687	59.2831
447	0.1923	67.5700
448	0.2187	76.8422
449	0.2438	85.6491
450	0.2770	97.3172
451	0.3150	110.6764
452	0.3491	122.6697
453	0.3858	135.5510
454	0.4277	150.2531
455	0.4743	166.6251
456	0.5198	182.6398
457	0.5749	201.9777
458	0.6256	219.8062
459	0.6791	238.6122
460	0.7320	257.1753
461	0.7928	278.5550
462	0.8416	295.6914
463	0.8820	309.8911
464	0.9211	323.6203
465	0.9570	336.2279
466	0.9783	343.7077
467	1.0000	351.3424
468	0.9952	349.6521
469	0.9826	345.2381
470	0.9487	333.3025
471	0.9214	323.7410
472	0.8795	308.9893
473	0.8369	294.0379
474	0.7775	273.1822
