"Wavelength(nm)","Spectrum","Spectrum(W/nm)","AD Value",
"380.0","-0.0000","-1.0002e-005","53.8",
"385.0","0.0003","1.1002e-004","55.8",
"390.0","0.0000","1.0002e-005","54.2",
"395.0","0.0002","6.4702e-005","55.8",
"400.0","0.0005","1.7083e-004","57.8",
"405.0","0.0018","6.5468e-004","67.2",
"410.0","0.0049","1.8493e-003","92.8",
"415.0","0.0119","4.4308e-003","154.6",
"420.0","0.0263","9.8223e-003","294.8",
"425.0","0.0544","2.0316e-002","554.6",
"430.0","0.1093","4.0852e-002","1033.8",
"435.0","0.2076","7.7594e-002","1883.5",
"440.0","0.3866","1.4449e-001","3301.1",
"445.0","0.6886","2.5736e-001","5856.4",
"450.0","1.0000","3.7376e-001","8935.7",
"455.0","0.9590","3.5843e-001","9554.9",
"460.0","0.6903","2.5799e-001","7803.2",
"465.0","0.5108","1.9090e-001","6142.3",
"470.0","0.3952","1.4772e-001","4316.2",
"475.0","0.2853","1.0664e-001","3140.8",
"480.0","0.2188","8.1766e-002","2298.4",
"485.0","0.1940","7.2517e-002","1859.6",
"490.0","0.1845","6.8941e-002","1735.9",
"495.0","0.1875","7.0065e-002","1737.8",
"500.0","0.2007","7.5024e-002","1788.7",
"505.0","0.2147","8.0263e-002","1815.0",
"510.0","0.2278","8.5132e-002","1871.9",
"515.0","0.2402","8.9764e-002","1908.3",
"520.0","0.2484","9.2851e-002","1899.4",
"525.0","0.2555","9.5483e-002","1844.2",
"530.0","0.2635","9.8482e-002","1862.1",
"535.0","0.2696","1.0075e-001","1848.8",
"540.0","0.2745","1.0260e-001","1826.4",
"545.0","0.2811","1.0507e-001","1820.8",
"550.0","0.2891","1.0806e-001","1804.9",
"555.0","0.2991","1.1177e-001","1794.2",
"560.0","0.3108","1.1615e-001","1795.2",
"565.0","0.3193","1.1933e-001","1798.0",
"570.0","0.3317","1.2396e-001","1804.1",
"575.0","0.3455","1.2914e-001","1795.2",
"580.0","0.3576","1.3367e-001","1784.5",
"585.0","0.3672","1.3726e-001","1744.2",
"590.0","0.3727","1.3930e-001","1678.0",
"595.0","0.3761","1.4057e-001","1630.1",
"600.0","0.3766","1.4077e-001","1566.7",
"605.0","0.3695","1.3809e-001","1469.6",
"610.0","0.3626","1.3554e-001","1363.7",
"615.0","0.3504","1.3096e-001","1257.5",
"620.0","0.3344","1.2498e-001","1144.9",
"625.0","0.3188","1.1917e-001","1038.2",
"630.0","0.3026","1.1309e-001","922.8",
"635.0","0.2893","1.0814e-001","817.5",
"640.0","0.2829","1.0574e-001","763.9",
"645.0","0.2887","1.0792e-001","739.8",
"650.0","0.3088","1.1540e-001","750.8",
"655.0","0.3479","1.3003e-001","786.1",
"660.0","0.4175","1.5605e-001","855.3",
"665.0","0.4461","1.6674e-001","824.6",
"670.0","0.3126","1.1683e-001","685.2",
"675.0","0.1890","7.0659e-002","571.7",
"680.0","0.1324","4.9480e-002","446.7",
"685.0","0.1058","3.9561e-002","329.6",
"690.0","0.0940","3.5150e-002","259.2",
"695.0","0.0942","3.5193e-002","227.1",
"700.0","0.1022","3.8188e-002","215.5",
"705.0","0.1119","4.1816e-002","208.2",
"710.0","0.1302","4.8674e-002","213.1",
"715.0","0.1595","5.9612e-002","227.4",
"720.0","0.1955","7.3075e-002","245.3",
"725.0","0.2406","8.9933e-002","266.1",
"730.0","0.2840","1.0615e-001","279.8",
"735.0","0.3223","1.2045e-001","283.7",
"740.0","0.3349","1.2515e-001","271.1",
"745.0","0.3122","1.1670e-001","238.6",
"750.0","0.2558","9.5611e-002","189.8",
"755.0","0.1778","6.6447e-002","140.6",
"760.0","0.1072","4.0071e-002","101.5",
"765.0","0.0606","2.2665e-002","79.0",
"770.0","0.0341","1.2738e-002","67.1",
"775.0","0.0146","5.4459e-003","59.8",
"780.0","0.0048","1.8093e-003","56.4",
"785.0","0.0010","3.7345e-004","55.3",
"790.0","0.0001","2.2341e-005","54.3",
"795.0","0.0000","0.0000e+000","54.2",
"800.0","0.0000","0.0000e+000","53.3",
