WL(nm)	PL	PE(mW/nm)
380	0.0062	0.0024
381	0.0058	0.0022
382	0.0053	0.0020
383	0.0051	0.0020
384	0.0041	0.0016
385	0.0041	0.0016
386	0.0039	0.0015
387	0.0042	0.0016
388	0.0029	0.0011
389	0.0038	0.0015
390	0.0031	0.0012
391	0.0030	0.0011
392	0.0023	0.0009
393	0.0025	0.0009
394	0.0027	0.0010
395	0.0025	0.0010
396	0.0025	0.0010
397	0.0025	0.0010
398	0.0025	0.0010
399	0.0024	0.0009
400	0.0022	0.0008
401	0.0025	0.0010
402	0.0035	0.0014
403	0.0040	0.0015
404	0.0048	0.0019
405	0.0059	0.0023
406	0.0065	0.0025
407	0.0065	0.0025
408	0.0057	0.0022
409	0.0058	0.0022
410	0.0053	0.0020
411	0.0048	0.0019
412	0.0058	0.0022
413	0.0064	0.0025
414	0.0072	0.0028
415	0.0079	0.0030
416	0.0095	0.0036
417	0.0118	0.0045
418	0.0125	0.0048
419	0.0147	0.0056
420	0.0163	0.0063
421	0.0205	0.0079
422	0.0229	0.0088
423	0.0268	0.0103
424	0.0313	0.0120
425	0.0368	0.0141
426	0.0428	0.0164
427	0.0485	0.0186
428	0.0566	0.0217
429	0.0655	0.0251
430	0.0745	0.0286
431	0.0846	0.0325
432	0.0962	0.0369
433	0.1128	0.0433
434	0.1310	0.0502
435	0.1504	0.0577
436	0.1718	0.0659
437	0.1936	0.0742
438	0.2133	0.0818
439	0.2311	0.0886
440	0.2584	0.0991
441	0.2802	0.1075
442	0.3096	0.1187
443	0.3396	0.1302
444	0.3745	0.1436
445	0.4077	0.1564
446	0.4391	0.1684
447	0.4714	0.1808
448	0.5028	0.1928
449	0.5289	0.2028
450	0.5538	0.2124
451	0.5706	0.2188
452	0.5754	0.2207
453	0.5758	0.2208
454	0.5642	0.2164
455	0.5532	0.2122
456	0.5333	0.2045
457	0.5049	0.1936
458	0.4774	0.1831
459	0.4479	0.1718
460	0.4132	0.1585
461	0.3834	0.1470
462	0.3520	0.1350
463	0.3243	0.1244
464	0.3005	0.1152
465	0.2792	0.1071
466	0.2639	0.1012
467	0.2448	0.0939
468	0.2296	0.0881
469	0.2159	0.0828
470	0.2009	0.0770
471	0.1864	0.0715
472	0.1755	0.0673
473	0.1669	0.0640
474	0.1551	0.0595
475	0.1457	0.0559
476	0.1347	0.0517
477	0.1280	0.0491
478	0.1199	0.0460
479	0.1133	0.0435
480	0.1057	0.0405
481	0.1022	0.0392
482	0.0987	0.0379
483	0.0952	0.0365
484	0.0901	0.0345
485	0.0899	0.0345
486	0.0864	0.0331
487	0.0862	0.0330
488	0.0840	0.0322
489	0.0821	0.0315
490	0.0824	0.0316
491	0.0808	0.0310
492	0.0807	0.0310
493	0.0812	0.0312
494	0.0822	0.0315
495	0.0831	0.0319
496	0.0823	0.0316
497	0.0842	0.0323
498	0.0862	0.0330
499	0.0883	0.0339
500	0.0906	0.0347
501	0.0928	0.0356
502	0.0977	0.0375
503	0.1014	0.0389
504	0.1048	0.0402
505	0.1083	0.0415
506	0.1139	0.0437
507	0.1198	0.0459
508	0.1249	0.0479
509	0.1309	0.0502
510	0.1373	0.0526
511	0.1454	0.0558
512	0.1506	0.0578
513	0.1587	0.0608
514	0.1666	0.0639
515	0.1745	0.0669
516	0.1796	0.0689
517	0.1885	0.0723
518	0.1986	0.0762
519	0.2076	0.0796
520	0.2179	0.0835
521	0.2245	0.0861
522	0.2370	0.0909
523	0.2461	0.0944
524	0.2588	0.0992
525	0.2705	0.1037
526	0.2794	0.1071
527	0.2937	0.1126
528	0.3062	0.1174
529	0.3188	0.1223
530	0.3321	0.1273
531	0.3473	0.1332
532	0.3621	0.1389
533	0.3723	0.1428
534	0.3900	0.1496
535	0.4077	0.1563
536	0.4193	0.1608
537	0.4371	0.1676
538	0.4526	0.1736
539	0.4725	0.1812
540	0.4939	0.1894
541	0.5126	0.1966
542	0.5342	0.2049
543	0.5545	0.2126
544	0.5771	0.2213
545	0.5955	0.2284
546	0.6151	0.2359
547	0.6349	0.2435
548	0.6526	0.2503
549	0.6704	0.2571
550	0.6812	0.2612
551	0.6996	0.2683
552	0.7104	0.2724
553	0.7262	0.2785
554	0.7467	0.2864
555	0.7620	0.2922
556	0.7778	0.2983
557	0.7912	0.3034
558	0.8082	0.3099
559	0.8205	0.3147
560	0.8356	0.3205
561	0.8523	0.3268
562	0.8621	0.3306
563	0.8831	0.3386
564	0.8915	0.3419
565	0.9009	0.3455
566	0.9188	0.3524
567	0.9278	0.3558
568	0.9287	0.3561
569	0.9406	0.3607
570	0.9541	0.3659
571	0.9593	0.3679
572	0.9650	0.3701
573	0.9746	0.3737
574	0.9816	0.3764
575	0.9806	0.3761
576	0.9889	0.3792
577	0.9894	0.3794
578	0.9921	0.3805
579	0.9949	0.3815
580	0.9953	0.3817
581	0.9949	0.3816
582	1.0000	0.3835
583	0.9908	0.3800
584	0.9936	0.3811
585	0.9857	0.3780
586	0.9813	0.3763
587	0.9798	0.3758
588	0.9706	0.3722
589	0.9674	0.3710
590	0.9621	0.3689
591	0.9591	0.3678
592	0.9450	0.3624
593	0.9343	0.3583
594	0.9233	0.3541
595	0.9156	0.3511
596	0.9058	0.3474
597	0.9020	0.3459
598	0.8853	0.3395
599	0.8715	0.3342
600	0.8649	0.3317
601	0.8511	0.3264
602	0.8382	0.3214
603	0.8308	0.3186
604	0.8127	0.3116
605	0.8010	0.3072
606	0.7910	0.3033
607	0.7820	0.2999
608	0.7686	0.2947
609	0.7575	0.2905
610	0.7478	0.2868
611	0.7391	0.2834
612	0.7328	0.2810
613	0.7193	0.2758
614	0.7100	0.2723
615	0.6881	0.2639
616	0.6776	0.2598
617	0.6561	0.2516
618	0.6487	0.2488
619	0.6328	0.2427
620	0.6173	0.2367
621	0.6000	0.2301
622	0.5956	0.2284
623	0.5827	0.2234
624	0.5732	0.2198
625	0.5502	0.2110
626	0.5457	0.2093
627	0.5333	0.2045
628	0.5224	0.2003
629	0.5039	0.1932
630	0.4989	0.1913
631	0.4932	0.1891
632	0.4783	0.1834
633	0.4633	0.1777
634	0.4603	0.1765
635	0.4457	0.1709
636	0.4351	0.1669
637	0.4227	0.1621
638	0.4150	0.1592
639	0.4003	0.1535
640	0.3950	0.1515
641	0.3859	0.1480
642	0.3759	0.1442
643	0.3600	0.1381
644	0.3561	0.1366
645	0.3550	0.1361
