WL(nm)	PL	PE(mW/nm)
380	0.0062	0.9602
381	0.0053	0.8222
382	0.0051	0.7813
383	0.0049	0.7597
384	0.0043	0.6571
385	0.0039	0.5985
386	0.0036	0.5486
387	0.0032	0.4921
388	0.0029	0.4514
389	0.0029	0.4476
390	0.0025	0.3920
391	0.0028	0.4268
392	0.0025	0.3923
393	0.0024	0.3768
394	0.0026	0.4065
395	0.0027	0.4156
396	0.0028	0.4337
397	0.0029	0.4471
398	0.0033	0.5036
399	0.0036	0.5509
400	0.0042	0.6503
401	0.0048	0.7395
402	0.0056	0.8633
403	0.0067	1.0322
404	0.0077	1.1842
405	0.0093	1.4233
406	0.0111	1.7056
407	0.0130	1.9988
408	0.0158	2.4296
409	0.0180	2.7736
410	0.0214	3.2920
411	0.0248	3.8211
412	0.0297	4.5622
413	0.0336	5.1633
414	0.0394	6.0643
415	0.0442	6.7984
416	0.0507	7.8011
417	0.0568	8.7407
418	0.0646	9.9350
419	0.0729	11.2093
420	0.0820	12.6170
421	0.0905	13.9251
422	0.1013	15.5888
423	0.1101	16.9358
424	0.1200	18.4582
425	0.1299	19.9920
426	0.1409	21.6854
427	0.1533	23.5805
428	0.1640	25.2258
429	0.1752	26.9518
430	0.1891	29.0997
431	0.2009	30.9151
432	0.2127	32.7329
433	0.2248	34.5932
434	0.2342	36.0359
435	0.2453	37.7500
436	0.2549	39.2227
437	0.2666	41.0194
438	0.2734	42.0619
439	0.2851	43.8720
440	0.2950	45.3838
441	0.3004	46.2195
442	0.3094	47.6046
443	0.3158	48.5912
444	0.3196	49.1763
445	0.3264	50.2193
446	0.3269	50.3027
447	0.3305	50.8462
448	0.3228	49.6655
449	0.3123	48.0541
450	0.3048	46.8945
451	0.2893	44.5099
452	0.2725	41.9221
453	0.2532	38.9555
454	0.2349	36.1495
455	0.2185	33.6192
456	0.1996	30.7074
457	0.1837	28.2665
458	0.1697	26.1047
459	0.1558	23.9684
460	0.1445	22.2283
461	0.1336	20.5520
462	0.1256	19.3260
463	0.1192	18.3453
464	0.1144	17.6000
465	0.1083	16.6710
466	0.1031	15.8584
467	0.0990	15.2349
468	0.0949	14.5990
469	0.0901	13.8646
470	0.0864	13.2968
