WL(nm)	PL	PE(mW/nm)
380	0.0111	0.5081
381	0.0087	0.3977
382	0.0079	0.3607
383	0.0072	0.3321
384	0.0062	0.2818
385	0.0060	0.2728
386	0.0053	0.2433
387	0.0050	0.2294
388	0.0045	0.2046
389	0.0047	0.2135
390	0.0040	0.1814
391	0.0039	0.1801
392	0.0038	0.1735
393	0.0034	0.1569
394	0.0030	0.1360
395	0.0037	0.1715
396	0.0034	0.1556
397	0.0032	0.1472
398	0.0034	0.1567
399	0.0038	0.1725
400	0.0039	0.1784
401	0.0047	0.2169
402	0.0046	0.2126
403	0.0054	0.2466
404	0.0062	0.2827
405	0.0071	0.3241
406	0.0077	0.3517
407	0.0089	0.4098
408	0.0103	0.4722
409	0.0124	0.5660
410	0.0140	0.6408
411	0.0171	0.7829
412	0.0197	0.9022
413	0.0233	1.0655
414	0.0264	1.2103
415	0.0316	1.4484
416	0.0371	1.6984
417	0.0428	1.9607
418	0.0487	2.2338
419	0.0575	2.6360
420	0.0644	2.9515
421	0.0759	3.4797
422	0.0856	3.9210
423	0.0978	4.4831
424	0.1140	5.2231
425	0.1275	5.8425
426	0.1426	6.5330
427	0.1567	7.1823
428	0.1760	8.0653
429	0.1976	9.0557
430	0.2163	9.9144
431	0.2422	11.0972
432	0.2632	12.0620
433	0.2865	13.1296
434	0.3127	14.3293
435	0.3341	15.3105
436	0.3696	16.9381
437	0.3952	18.1105
438	0.4173	19.1209
439	0.4526	20.7421
440	0.4815	22.0629
441	0.5087	23.3135
442	0.5432	24.8926
443	0.5848	26.7991
444	0.6232	28.5600
445	0.6699	30.7007
446	0.7079	32.4389
447	0.7553	34.6105
448	0.8059	36.9300
449	0.8548	39.1723
450	0.8881	40.6984
451	0.9384	43.0016
452	0.9638	44.1669
453	0.9850	45.1397
454	0.9915	45.4363
455	1.0000	45.8258
456	0.9980	45.7345
457	0.9785	44.8393
458	0.9390	43.0289
459	0.9050	41.4725
460	0.8630	39.5461
461	0.8118	37.2002
462	0.7667	35.1359
463	0.7151	32.7717
464	0.6780	31.0699
465	0.6314	28.9340
466	0.5974	27.3773
467	0.5630	25.8008
468	0.5390	24.7008
469	0.5107	23.4035
470	0.4811	22.0454
471	0.4631	21.2241
472	0.4398	20.1561
473	0.4196	19.2282
474	0.4002	18.3394
475	0.3858	17.6812
476	0.3680	16.8636
477	0.3505	16.0605
478	0.3383	15.5016
479	0.3210	14.7102
480	0.3091	14.1646
481	0.2964	13.5835
482	0.2876	13.1806
483	0.2805	12.8537
484	0.2730	12.5096
485	0.2680	12.2793
486	0.2628	12.0419
487	0.2608	11.9525
488	0.2572	11.7875
489	0.2584	11.8406
490	0.2576	11.8050
491	0.2577	11.8113
492	0.2643	12.1138
493	0.2662	12.1966
494	0.2707	12.4035
495	0.2752	12.6100
496	0.2782	12.7505
497	0.2869	13.1458
498	0.2977	13.6433
499	0.3025	13.8645
500	0.3107	14.2385
501	0.3226	14.7843
502	0.3317	15.2011
503	0.3455	15.8322
504	0.3584	16.4244
505	0.3675	16.8393
506	0.3850	17.6433
507	0.3994	18.3031
508	0.4105	18.8114
509	0.4265	19.5441
510	0.4414	20.2257
511	0.4565	20.9172
512	0.4676	21.4274
513	0.4801	21.9997
514	0.4932	22.6001
515	0.5057	23.1722
516	0.5207	23.8601
517	0.5305	24.3104
518	0.5419	24.8319
519	0.5565	25.5008
520	0.5700	26.1208
521	0.5783	26.4993
522	0.5916	27.1120
523	0.5985	27.4260
524	0.6099	27.9471
525	0.6261	28.6903
526	0.6286	28.8057
527	0.6397	29.3162
528	0.6501	29.7922
529	0.6586	30.1823
530	0.6672	30.5771
531	0.6733	30.8560
532	0.6803	31.1742
533	0.6909	31.6609
534	0.6957	31.8812
535	0.7012	32.1334
536	0.7020	32.1682
537	0.7118	32.6195
538	0.7177	32.8912
539	0.7254	33.2424
540	0.7219	33.0800
541	0.7322	33.5531
542	0.7355	33.7070
543	0.7441	34.0999
544	0.7469	34.2276
545	0.7484	34.2980
546	0.7575	34.7154
547	0.7646	35.0379
548	0.7681	35.1972
549	0.7702	35.2943
550	0.7811	35.7964
551	0.7746	35.4988
552	0.7852	35.9840
553	0.7856	35.9997
554	0.7999	36.6574
555	0.8011	36.7131
556	0.8132	37.2662
557	0.8106	37.1442
558	0.8192	37.5407
559	0.8267	37.8858
560	0.8221	37.6721
561	0.8207	37.6107
562	0.8340	38.2193
563	0.8337	38.2049
564	0.8413	38.5527
565	0.8517	39.0281
566	0.8520	39.0447
567	0.8601	39.4146
568	0.8599	39.4052
